"X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
0.00125907510242352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5671555639519,0.627584292840526,0.614722872806344,0.590295405428901,0.619056923460278,0.623782222362178,0.688559553225044,0.666165175399441,0.581829108527234,0.599698734086779,0.627877790030262,0.684274335153894,0.620351360018154,0.561464361650634,0.703194238253987,0.609976674265074,0.635444739746087
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
