"X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
0.00137652616429171,0,0,0,0,0,1.41133821996219e-17,0,0,0,0,0,0,0,0,0,0
0.759945754116412,0.736735282685667,0.654479244759192,0.613880234562537,0.631463564696602,0.652322220220718,0.768885705779168,0.670435050623037,0.750491343780873,0.67280179602076,0.75349895371032,0.727667077064429,0.777921285094549,0.686085218399464,0.678467543440543,0.740941116518837,0.688229112383659
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
