site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,date_insitu,chl,sd,depth,layer,ph,tp,cond,turbidity
Newbury,2014-07-30T00:00:00Z,2014,7,30,30,211,0.827611672,1.41E-02,0.84175888,0.742728423,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-08-06T00:00:00Z,2014,8,31,6,218,0.47393147,0,0.47393147,-0.36782741,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-08-12T00:00:00Z,2014,8,32,12,224,0.233428933,0,0.233428933,-0.240502537,2014-08-12T00:00:00Z,1.6,7.3,6,I,6.86,0.003,89.6,0.68
Newbury,2014-08-20T00:00:00Z,2014,8,33,20,232,4.067322319,7.78E-02,4.145131963,3.91170303,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-08-27T00:00:00Z,2014,8,34,27,239,22.82652022,0.8771269,23.70364712,19.55851515,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-09-04T00:00:00Z,2014,9,35,4,247,6.139888301,6.37E-02,6.203550737,-17.50009638,2014-09-02T00:00:00Z,1.3,6.05,6,I,6.75,0.007,89.3,0.69
Newbury,2014-09-10T00:00:00Z,2014,9,36,10,253,0.106104061,0,0.106104061,-6.097446676,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-09-17T00:00:00Z,2014,9,37,17,260,0.608329947,7.07E-03,0.615403551,0.50929949,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-09-25T00:00:00Z,2014,9,38,25,268,0.014147208,0,0.014147208,-0.601256343,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-10-03T00:00:00Z,2014,10,39,3,276,0.021220812,0,0.021220812,7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2014-10-10T00:00:00Z,2014,10,40,10,283,0.014147208,0,0.014147208,-7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-05-14T00:00:00Z,2015,5,19,14,134,0,0,0,-1.41E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-05-21T00:00:00Z,2015,5,20,21,141,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-05-28T00:00:00Z,2015,5,21,28,148,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-06-05T00:00:00Z,2015,6,22,5,156,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-06-11T00:00:00Z,2015,6,23,11,162,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-06-19T00:00:00Z,2015,6,24,19,170,0.007073604,7.07E-03,0.014147208,1.41E-02,2015-06-16T00:00:00Z,1.44,7.3,6,I,6.7,0.006,91.9,1.54
Newbury,2015-07-02T00:00:00Z,2015,7,26,2,183,0.028294416,2.83E-02,0.056588832,4.24E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-07-09T00:00:00Z,2015,7,27,9,190,0.077809644,3.54E-02,0.113177665,5.66E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-07-16T00:00:00Z,2015,7,28,16,197,0.077809644,2.12E-02,0.099030457,-1.41E-02,2015-07-13T00:00:00Z,1.63,7.1,6,I,6.6,0.007,94.8,0.71
Newbury,2015-07-23T00:00:00Z,2015,7,29,23,204,0.304164973,4.24E-02,0.346606598,0.247576141,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-07-30T00:00:00Z,2015,7,30,30,211,0.629550759,9.20E-02,0.721507611,0.374901014,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-08-06T00:00:00Z,2015,8,31,6,218,0.162692893,4.95E-02,0.212208121,-0.50929949,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-08-13T00:00:00Z,2015,8,32,13,225,0.516373094,0.134398477,0.650771571,0.43856345,2015-08-10T00:00:00Z,1.25,5.9,6,I,6.64,0.005,97.7,1.12
Newbury,2015-08-20T00:00:00Z,2015,8,33,20,232,0.353680202,0.106104061,0.459784262,-0.190987309,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-08-25T00:00:00Z,2015,8,34,25,237,0.459784262,4.24E-02,0.502225886,4.24E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-09-03T00:00:00Z,2015,9,35,3,246,12.85981213,0.594182739,13.45399487,12.95176898,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-09-10T00:00:00Z,2015,9,36,10,253,1.598634512,0.134398477,1.733032988,-11.72096188,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-09-17T00:00:00Z,2015,9,37,17,260,25.7762131,0.120251269,25.89646437,24.16343138,2015-09-10T00:00:00Z,1.06,7.3,6,I,6.92,0.005,101.3,1.03
Newbury,2015-09-24T00:00:00Z,2015,9,38,24,267,2.206964458,7.07E-03,2.214038062,-23.6824263,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-10-02T00:00:00Z,2015,10,39,2,275,0.113177665,0,0.113177665,-2.100860398,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2015-10-12T00:00:00Z,2015,10,41,12,285,0.148545685,0,0.148545685,3.54E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2016-05-26T00:00:00Z,2016,5,21,26,147,0.077809644,3.54E-02,0.113177665,-3.54E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2016-06-03T00:00:00Z,2016,6,22,3,155,0.014147208,7.07E-03,0.021220812,-9.20E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2016-06-16T00:00:00Z,2016,6,24,16,168,0.311238578,0.169766497,0.481005074,0.459784262,2016-06-15T00:00:00Z,1.44,6.75,7.3,I,7,0.007,97,2.06
Newbury,2016-06-23T00:00:00Z,2016,6,25,23,175,2.92847207,0.891274108,3.819746178,3.338741104,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2016-06-30T00:00:00Z,2016,6,26,30,182,0.099030457,4.24E-02,0.141472081,-3.678274097,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2016-07-07T00:00:00Z,2016,7,27,7,189,0.014147208,2.12E-02,0.03536802,-0.106104061,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2016-07-14T00:00:00Z,2016,7,28,14,196,0.198060913,0.36782741,0.565888323,0.530520302,2016-07-12T00:00:00Z,0.73,7.3,NA,I,7.21,0.005,100.1,1.05
Newbury,2016-07-21T00:00:00Z,2016,7,29,21,203,0.176840101,0.176840101,0.353680202,-0.212208121,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2016-07-27T00:00:00Z,2016,7,30,27,209,3.550949225,1.216659894,4.767609118,4.413928917,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2016-08-04T00:00:00Z,2016,8,31,4,217,0.834685276,0.481005074,1.31569035,-3.451918768,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2016-08-15T00:00:00Z,2016,8,33,15,228,1.421794411,0.82407487,2.245869281,0.93017893,2016-08-16T00:00:00Z,1.25,7.3,7.3,I,7.06,0.003,102.4,0.81
Newbury,2016-08-22T00:00:00Z,2016,8,34,22,235,0.643697967,3.54E-02,0.679065987,-1.566803293,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2016-08-31T00:00:00Z,2016,8,35,31,244,3.939997446,0.219281725,4.159279172,3.480213184,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2016-09-07T00:00:00Z,2016,9,36,7,251,0.594182739,0.155619289,0.749802028,-3.409477144,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2016-09-14T00:00:00Z,2016,9,37,14,258,0.679065987,2.83E-02,0.707360403,-4.24E-02,2016-09-11T00:00:00Z,1.22,7.3,6.3,I,6.97,0.006,101.7,1.06
Newbury,2016-09-21T00:00:00Z,2016,9,38,21,265,0.799317256,7.78E-02,0.8771269,0.169766497,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2016-09-28T00:00:00Z,2016,9,39,28,272,0.148545685,0,0.148545685,-0.728581215,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2016-10-05T00:00:00Z,2016,10,40,5,279,0.063662436,1.41E-02,0.077809644,-7.07E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
