site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,date_insitu,chl,sd,depth,layer,ph,tp,cond,turbidity
Newbury,2008-08-21T00:00:00Z,2008,8,33,21,234,2.603086284,1.41E-02,2.617233492,1.032746189,2008-08-12T00:00:00Z,0,7.3,6,I,7.03,0.019,85.9,0.86
Newbury,2008-08-26T00:00:00Z,2008,8,34,26,239,0.671992383,0,0.671992383,-1.945241109,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-09-04T00:00:00Z,2008,9,35,4,248,0.141472081,0,0.141472081,-0.530520302,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-09-10T00:00:00Z,2008,9,36,10,254,0.311238578,0,0.311238578,0.169766497,2008-09-08T00:00:00Z,0.92,7.3,0,I,7.12,0.004,86.4,1.06
Newbury,2008-09-17T00:00:00Z,2008,9,37,17,261,0.07073604,0,0.07073604,-0.240502537,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2008-09-24T00:00:00Z,2008,9,38,24,268,0.155619289,0,0.155619289,8.49E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-05-15T00:00:00Z,2009,5,19,15,135,0,0,0,-0.155619289,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-05-29T00:00:00Z,2009,5,21,29,149,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-06-04T00:00:00Z,2009,6,22,4,155,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-06-17T00:00:00Z,2009,6,24,17,168,0.007073604,0,0.007073604,7.07E-03,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-06-25T00:00:00Z,2009,6,25,25,176,0.03536802,0,0.03536802,2.83E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-07-02T00:00:00Z,2009,7,26,2,183,0.007073604,0,0.007073604,-2.83E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-07-09T00:00:00Z,2009,7,27,9,190,0.021220812,7.07E-03,0.028294416,2.12E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-07-16T00:00:00Z,2009,7,28,16,197,0.049515228,7.07E-03,0.056588832,2.83E-02,2009-07-15T00:00:00Z,0.92,NA,6,I,6.95,0.005,94.2,1.45
Newbury,2009-07-23T00:00:00Z,2009,7,29,23,204,0.021220812,0,0.021220812,-3.54E-02,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-07-30T00:00:00Z,2009,7,30,30,211,0.021220812,0,0.021220812,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-08-06T00:00:00Z,2009,8,31,6,218,0.155619289,0,0.155619289,0.134398477,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-08-13T00:00:00Z,2009,8,32,13,225,0.134398477,0,0.134398477,-2.12E-02,2009-08-12T00:00:00Z,0.88,7.3,7,I,6.9,0.008,91.8,1.93
Newbury,2009-08-20T00:00:00Z,2009,8,33,20,232,2.914324862,3.54E-02,2.949692882,2.815294405,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-08-27T00:00:00Z,2009,8,34,27,239,3.451918768,7.07E-03,3.458992372,0.50929949,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-09-01T00:00:00Z,2009,9,35,1,244,1.499604055,0,1.499604055,-1.959388317,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-09-08T00:00:00Z,2009,9,36,8,251,5.673030435,0,5.673030435,4.17342638,2009-09-08T00:00:00Z,1.23,7.3,7,I,6.89,0.005,95.6,1.43
Newbury,2009-09-15T00:00:00Z,2009,9,37,15,258,6.776512664,0,6.776512664,1.103482229,NA,NA,NA,NA,NA,NA,NA,NA,NA
Newbury,2009-09-21T00:00:00Z,2009,9,38,21,264,41.12593385,0,41.12593385,34.34942118,NA,NA,NA,NA,NA,NA,NA,NA,NA
