Date,daily_mean_PAR_umolm2s,sampling_time_temp,sampling_time
2010-09-13,102.4355139,37,NA
2010-09-14,247.1627083,37,NA
2010-09-15,205.8039097,37,NA
2010-09-16,278.6957292,37,37
2010-09-17,137.9009583,38,NA
2010-09-18,232.0544792,38,NA
2010-09-19,195.8026667,38,NA
2010-09-20,330.6431042,38,NA
2010-09-21,279.6300347,38,NA
2010-09-22,207.0364514,38,NA
2010-09-23,252.2724028,38,38
2010-09-24,244.0138542,39,NA
2010-09-25,310.0806389,39,NA
2010-09-26,126.74225,39,NA
2010-09-27,38.74452778,39,NA
2010-09-28,89.83977083,39,NA
2010-09-29,306.7124931,39,NA
2010-09-30,37.96196528,39,39
2010-10-01,37.607125,40,NA
2010-10-02,282.8587153,40,NA
2010-10-03,232.5323889,40,NA
2010-10-04,217.3561806,40,NA
2010-10-05,168.3831875,40,NA
2010-10-06,34.98835417,40,NA
2010-10-07,135.4549306,40,40
2011-05-20,171.8069722,41,NA
2011-05-21,239.9310556,41,NA
2011-05-22,158.6888333,41,NA
2011-05-23,65.75435417,41,NA
2011-05-24,302.3907292,41,NA
2011-05-25,443.5701806,41,NA
2011-05-26,406.5457153,41,41
2011-05-27,483.0514722,42,NA
2011-05-28,234.2223333,42,NA
2011-05-29,386.3562569,42,NA
2011-05-30,405.0591736,42,NA
2011-05-31,460.3086875,42,NA
2011-06-01,345.8574306,42,NA
2011-06-02,235.4297778,42,42
2011-06-04,452.1456181,43,NA
2011-06-05,359.4163611,43,NA
2011-06-06,427.0794236,43,NA
2011-06-07,469.2789653,43,NA
2011-06-08,496.2996319,43,NA
2011-06-09,285.6950139,43,NA
2011-06-10,377.3178264,43,43
2011-06-11,55.32551389,44,NA
2011-06-12,115.8565694,44,NA
2011-06-13,233.5008681,44,NA
2011-06-14,148.9474583,44,NA
2011-06-15,401.3713264,44,NA
2011-06-16,498.8997292,44,44
2011-06-17,210.1384236,45,NA
2011-06-18,356.1180347,45,NA
2011-06-19,489.9666389,45,NA
2011-06-20,472.6742222,45,NA
2011-06-21,447.1705278,45,NA
2011-06-22,184.9215069,45,NA
2011-06-23,56.49747917,45,45
2011-06-24,66.43564583,46,NA
2011-06-25,226.3198056,46,NA
2011-06-26,278.1665139,46,NA
2011-06-27,507.234125,46,NA
2011-06-28,263.5805,46,NA
2011-06-29,358.3615139,46,NA
2011-06-30,357.4877917,46,46
2011-07-01,345.9180556,47,NA
2011-07-02,498.9980347,47,NA
2011-07-03,162.3828889,47,NA
2011-07-04,396.6020486,47,NA
2011-07-05,441.5949167,47,NA
2011-07-06,408.2179236,47,NA
2011-07-07,461.5988056,47,47
2011-07-08,349.4437986,48,NA
2011-07-09,450.6197569,48,NA
2011-07-10,482.4534028,48,NA
2011-07-11,428.6520764,48,NA
2011-07-12,365.6376875,48,NA
2011-07-13,289.6809792,48,NA
2011-07-14,461.7624514,48,48
2011-07-15,405.1298542,49,NA
2011-07-16,506.4040486,49,NA
2011-07-17,444.7899167,49,NA
2011-07-18,226.8798056,49,NA
2011-07-19,400.1132708,49,NA
2011-07-20,423.3278958,49,NA
2011-07-21,371.5643819,49,49
2011-07-22,447.9654861,50,NA
2011-07-23,345.4611667,50,NA
2011-07-24,378.0823403,50,NA
2011-07-25,151.5648681,50,NA
2011-07-26,342.4126528,50,NA
2011-07-27,393.8914375,50,NA
2011-07-28,461.3967639,50,50
2011-07-29,86.09315972,51,NA
2011-07-30,389.6442222,51,NA
2011-07-31,412.9487361,51,NA
2011-08-01,309.7331667,51,NA
2011-08-02,292.0701597,51,NA
2011-08-03,361.2274097,51,NA
2011-08-04,320.4384583,51,51
2011-08-05,378.8460069,52,NA
2011-08-06,270.4673819,52,NA
2011-08-07,269.7539514,52,NA
2011-08-08,298.3402222,52,NA
2011-08-09,263.7677222,52,NA
2011-08-10,287.2816736,52,NA
2011-08-11,311.7185764,52,52
2011-08-12,364.4875069,53,NA
2011-08-13,377.2163194,53,NA
2011-08-14,103.7671111,53,NA
2011-08-15,48.38473611,53,NA
2011-08-16,136.163,53,NA
2011-08-17,396.1988333,53,NA
2011-08-18,398.7433403,53,53
2011-08-19,277.2967014,54,NA
2011-08-20,389.0756458,54,NA
2011-08-21,249.1671736,54,NA
2011-08-22,303.3033958,54,NA
2011-08-23,319.1565833,54,NA
2011-08-24,368.9367639,54,NA
2011-08-25,148.6100069,54,54
2011-08-26,365.3547361,55,NA
2011-08-27,264.9252014,55,NA
2011-08-28,27.514625,55,NA
2011-08-29,344.1811806,55,NA
2011-08-30,334.8615972,55,NA
2011-08-31,340.6473125,55,NA
2011-09-01,335.0752778,55,55
2011-09-02,361.0514444,56,NA
2011-09-03,342.7824375,56,NA
2011-09-04,306.8546528,56,NA
2011-09-05,87.30169444,56,NA
