"wk_1","wk_2","wk_3","wk_4","wk_5","wk_6","wk_7","wk_8","wk_9","wk_10","wk_11","wk_12","wk_13","wk_14","wk_15","wk_16","wk_17","wk_18","wk_19","wk_20"
0.007073604,0.021220812,NA,0.007073604,0.084883248,0.063662436,0.148545685,0.042441624,0.007073604,0.240502537,0.212208121,0.205134517,0.297091369,0.488078678,0.381974618,0.629550759,0.940789336,4.095616735,NA,0.226355329
0.049515228,0.021220812,0.007073604,0.049515228,0.091956852,0.594182739,0.452710658,0.650771571,1.039819793,0.424416242,11.218736,2.843588821,1.492530451,0.502225886,2.468687808,0.381974618,0.042441624,0.077809644,0,0.007073604
0,0,0,0,0.028294416,0,0.07073604,0.014147208,0.134398477,0.099030457,0.969083753,1.584487303,2.298921311,1.131776645,3.041649734,0.481005074,0.063662436,0,0,0.007073604
0,0.007073604,0,0.021220812,0.049515228,0.077809644,0.106104061,0.855906088,1.011525377,0.565888323,0.580035531,0.834685276,0.176840101,0.346606598,0.275870557,0.898347712,0.148545685,0.099030457,0.063662436,0.007073604
0,0,0,0,0.014147208,0,0.021220812,0,0.03536802,0.488078678,0.445637054,0.551741115,0.997378169,2.532350244,1.188365478,1.428868015,6.642114187,0.91249492,0.431489846,0.247576141
0,0.007073604,0.028294416,0.205134517,0.07073604,0.183913705,0.523446698,0.106104061,0.43856345,0.374901014,0.558814719,0.47393147,3.3316675,1.237880706,0.926642128,0.275870557,0.240502537,0.028294416,0.007073604,0.007073604
