date,ppt_mm,ma_3,ma_5,ma_7,ma_10,ma_14
2005-05-01,10.1,NA,NA,NA,NA,NA
2005-05-02,0.05,NA,NA,NA,NA,NA
2005-05-03,0.7,3.6166666666666667,NA,NA,NA,NA
2005-05-04,0,0.25,NA,NA,NA,NA
2005-05-05,0,0.2333333333333333,2.17,NA,NA,NA
2005-05-06,0,1.3877787807814457e-17,0.15,NA,NA,NA
2005-05-07,0,1.3877787807814457e-17,0.13999999999999999,1.55,NA,NA
2005-05-08,6.65,2.216666666666667,1.33,1.0571428571428572,NA,NA
2005-05-09,0,2.216666666666667,1.33,1.05,NA,NA
2005-05-10,0,2.216666666666667,1.33,0.9500000000000001,1.75,NA
2005-05-11,0,1.3877787807814457e-17,1.33,0.9500000000000001,0.74,NA
2005-05-12,0,1.3877787807814457e-17,1.33,0.9500000000000001,0.7350000000000001,NA
2005-05-13,0,1.3877787807814457e-17,-3.608224830031759e-17,0.9500000000000001,0.665,NA
2005-05-14,0,1.3877787807814457e-17,-3.608224830031759e-17,0.9500000000000001,0.665,1.25
2005-05-15,0.64,0.21333333333333335,0.12799999999999995,0.09142857142857139,0.729,0.5742857142857144
2005-05-16,5.7,2.1133333333333333,1.268,0.9057142857142857,1.299,0.977857142857143
2005-05-17,0.61,2.316666666666667,1.3900000000000001,0.9928571428571429,1.36,0.9714285714285715
2005-05-18,0,2.1033333333333335,1.3900000000000001,0.9928571428571429,0.6950000000000001,0.9714285714285715
2005-05-19,0,0.20333333333333334,1.3900000000000001,0.9928571428571429,0.6950000000000001,0.9714285714285715
2005-05-20,0,1.3877787807814457e-17,1.262,0.9928571428571429,0.6950000000000001,0.9714285714285715
2005-05-21,0,1.3877787807814457e-17,0.12199999999999996,0.9928571428571429,0.6950000000000001,0.9714285714285715
2005-05-22,16.2,5.3999999999999995,3.2399999999999998,3.2157142857142853,2.315,1.6535714285714285
2005-05-23,6.42,7.54,4.524,3.318571428571428,2.957,2.112142857142857
2005-05-24,16.32,12.979999999999999,7.787999999999999,5.562857142857142,4.589,3.277857142857143
2005-05-25,11.98,11.573333333333332,10.184000000000001,7.274285714285715,5.723,4.133571428571428
2005-05-26,6.31,11.536666666666667,11.446,8.175714285714285,5.784,4.5842857142857145
2005-05-27,7.82,8.703333333333333,9.77,9.292857142857143,6.505,5.142857142857143
2005-05-28,0.61,4.913333333333333,8.608,9.379999999999999,6.566,5.186428571428571
2005-05-29,0,2.81,5.344,7.065714285714286,6.566,5.140714285714286
2005-05-30,2.15,0.9199999999999999,3.378,6.4557142857142855,6.781000000000001,4.887142857142857
2005-05-31,7.96,3.3699999999999997,3.7080000000000006,5.261428571428572,7.577,5.4121428571428565
2005-06-01,0,3.3699999999999997,2.144,3.5500000000000003,5.957,5.4121428571428565
2005-06-02,0,2.6533333333333333,2.0220000000000002,2.648571428571429,5.3149999999999995,5.4121428571428565
2005-06-03,0,-1.3415194880887307e-16,2.0220000000000002,1.5314285714285716,3.683,5.4121428571428565
2005-06-04,0,-1.3415194880887307e-16,1.592,1.4442857142857144,2.485,5.4121428571428565
2005-06-05,0,-1.3415194880887307e-16,2.3037127760972e-16,1.4442857142857144,1.8539999999999999,4.255
2005-06-06,0,-1.3415194880887307e-16,2.3037127760972e-16,1.1371428571428572,1.0719999999999998,3.7964285714285713
2005-06-07,9.01,3.0033333333333334,1.8020000000000003,1.2871428571428574,1.9120000000000001,3.2742857142857145
2005-06-08,0,3.0033333333333334,1.8020000000000003,1.2871428571428574,1.9120000000000001,2.4185714285714286
2005-06-09,7.43,5.4799999999999995,3.2880000000000003,2.3485714285714288,2.44,2.4985714285714282
2005-06-10,4.96,4.13,4.28,3.0571428571428574,2.1399999999999997,2.294285714285714
2005-06-11,28.4,13.596666666666666,9.959999999999999,7.114285714285714,4.9799999999999995,4.279285714285714
2005-06-12,0,11.12,8.158,7.114285714285714,4.9799999999999995,4.279285714285714
2005-06-13,3.62,10.673333333333332,8.882,7.631428571428572,5.342,4.384285714285714
2005-06-14,18.36,7.326666666666667,11.068,8.967142857142857,7.178,5.127142857142857
2005-06-15,15.45,12.476666666666667,13.166,11.174285714285714,8.722999999999999,6.230714285714286
2005-06-16,1.96,11.923333333333332,7.878,10.392857142857142,8.919,6.3707142857142856
2005-06-17,12.62,10.01,10.402,11.487142857142857,9.28,7.272142857142858
2005-06-18,24.22,12.933333333333332,14.522,10.89,11.702,9.002142857142857
2005-06-19,3.08,13.306666666666665,11.466,11.33,11.267,9.222142857142856
