date,log_gloeo,schmidt.stability_mean_diff,schmidt.stability_max_diff,schmidt.stability_min_diff
2011-07-28,-0.638356522,-26.7595427,-51.8878973,-15.6772534
2011-08-04,-0.072958881,-1.5185865,1.1685765,-9.0965361
2011-08-11,-0.761034826,-12.5013557,-19.4731808,-11.8292134
2011-08-18,0.613449653,-104.4832688,-103.7409593,-118.9157521
2011-08-25,0.377926019,-32.868157,-16.9958658,-28.5612284
2011-09-01,0.024307891,-84.9839566,-84.0069707,-115.6810537
2011-09-08,-0.33405872,-63.2351557,-73.9894995,-29.1868339
2011-09-15,-1.220484084,-33.959331,-2.5449091,-91.8387611
2011-09-22,-1.750869961,-163.3676453,-190.0981448,-94.92102095
2011-09-29,-2.443697499,69.35453145,125.2502731,26.86921853
2011-10-06,-2.443697499,-126.3382378,-207.473146,-58.43935483
2012-04-19,-2.443697499,NA,NA,NA
2012-05-03,-2.443697499,-26.49251161,-33.56488878,-23.14243066
2012-05-10,-2.443697499,35.57593559,44.59326427,21.44168364
2012-05-17,-2.443697499,53.83767229,74.90991215,35.6427862
2012-05-24,-2.443697499,134.0626612,121.8661065,152.4208355
2012-05-31,-2.443697499,85.7334574,102.8563031,73.438954
2012-06-07,-1.27478095,-101.5758481,-112.9522221,-101.0190124
2012-06-14,-0.838416159,92.8200053,101.4530639,76.2461561
2012-06-21,-0.289967733,136.1402983,145.0150407,143.7636098
2012-06-28,-1.971688914,-89.8227182,-91.1612458,-84.5011923
2012-07-05,-0.511780809,118.8914052,109.8547262,101.9696602
2012-07-12,-0.932640213,39.6162133,31.9058103,58.6819937
2012-07-19,-0.542808437,61.3542811,74.5443858,61.7436042
2012-07-26,-0.302115104,-71.6558698,-90.5475142,-79.2916282
2012-08-02,-0.165791735,18.5004146,25.7017988,29.4140691
2012-08-09,0.071078287,40.3166348,53.7339516,42.9373775
2012-08-16,-0.79800432,0.6734071,-17.8089079,-12.8467932
2012-08-23,-0.553663939,-65.2066301,-63.9579598,-60.5539733
2012-08-30,-0.165791735,-59.2566474,-37.3082163,-59.2693418
2012-09-06,-0.244515176,-65.8050506,-69.1696074,-61.1708365
2012-09-13,-0.188895757,-119.2849894,-120.3739213,-152.2570717
2012-09-20,-0.482822866,-218.7680567,-205.8381072,-192.3034337
2012-09-27,-1.605184015,-23.19396035,-52.49178068,0.954139925
2012-10-05,-1.496285346,-2.276371144,-18.24487397,0.222614122
2013-05-23,-2.443697499,53.02402411,65.48605276,25.3780697
2013-05-30,-2.443697499,-54.61243093,-51.9981006,-34.56022758
2013-06-06,-2.443697499,125.1275659,124.0613186,134.8525033
2013-06-13,-1.605184015,-52.4254813,-62.0535692,-61.6532154
2013-06-20,-1.605184015,57.6050345,55.9754609,58.8009971
2013-06-27,-1.605184015,170.8080025,184.7704956,172.0131997
2013-07-03,-1.172227408,34.0989163,44.1291329,39.8597555
2013-07-11,-1.128800578,130.0791119,129.2766556,119.2763388
2013-07-18,-1.089324144,78.3451813,104.4602117,54.7358461
2013-07-25,-0.43847669,-135.1321807,-152.4755998,-119.5734375
2013-08-01,-0.266647102,16.3273365,-10.3282644,29.008616
2013-08-08,-0.361421052,-93.9237818,-100.4868615,-94.7168307
2013-09-11,0.975287543,-161.4118914,-132.955142,-155.2569246
2013-09-18,1.911903337,-144.5695128,-152.4666825,-160.4865452
2013-09-25,-0.33405872,-113.9346682,-144.329025,-82.98362702
2013-10-02,-0.625198638,39.99157632,60.66579595,24.2088787
2013-10-09,-1.496285346,-36.39721823,-46.08311934,-23.74567926
2014-06-12,-2.443697499,NA,NA,NA
2014-06-19,-0.860125707,16.4420811,47.046346,2.9547752
2014-07-30,0.115658146,92.3267633,88.5519272,76.2896176
2014-08-06,0.232573947,51.8154604,61.8487208,31.3504748
2014-08-12,-0.233858277,-46.2464408,-45.0976808,-49.9460756
2014-08-20,0.389355182,-184.7345381,-174.1094142,-157.3340066
2014-08-27,-0.511780809,-31.0224111,15.2704107,-106.3597851
2014-09-04,0.060517987,40.0093285,4.7911979,102.2758205
2014-09-10,-0.390623935,-33.4406537,-66.415905,-50.8125
2014-09-17,0.294479877,-196.2548117,-192.2316582,-140.2414659
2014-09-25,-0.988723737,-5.3847799,-39.91027478,4.770025527
2014-10-03,-1.750869961,2.46779781,9.1920536,0.02006847
2014-10-10,-0.882977839,-14.83749907,-22.66472104,-8.86299978
2015-05-14,-2.443697499,22.01893712,30.95483593,5.992019432
2015-05-21,-1.971688914,41.65154982,37.1918875,37.46559783
2015-05-28,-0.882977839,63.9499298,86.5597999,34.2356164
2015-06-05,-1.971688914,6.6964933,-6.163304,32.6775146
2015-06-11,-1.750869961,46.439969,43.7231292,24.943893
2015-06-19,-1.019738166,79.1835517,111.651151,61.2595433
2015-08-13,-0.413891563,37.502687,22.5636478,73.0552632
2015-08-20,-0.095329208,89.1133435,110.6945916,51.5749497
2015-08-25,-0.174886389,-14.4144263,-29.8726192,7.2030315
2015-09-03,-0.021608123,-100.5454392,-83.5758496,-116.4691662
2015-09-10,1.149476731,-38.3653447,-40.1335635,-30.468882
2015-09-17,0.323140758,-207.5213405,-173.0072478,-200.4718364
2015-09-24,-0.110909702,-47.42685167,-107.2005737,-31.46416021
2015-10-12,-1.172227408,-28.87950779,-54.02581397,-1.124745388
