date,onset_wtr_temp,ma_3,ma_5,ma_7,ma_10,ma_14
2007-09-03,21.77,21.853501157407408,22.507166666666667,22.51548115079365,22.519840277777778,22.113580109126982
2007-09-04,21.604583333333334,21.65096064814815,22.144663194444448,22.42438244047619,22.51462847222222,22.12416294642857
2007-09-05,21.089166666666667,21.575972222222223,21.729357638888892,22.231731150793653,22.335026041666666,22.136258680555557
2007-09-06,20.946666666666665,21.34705439814815,21.439284722222226,21.852408234126987,22.164953125,22.145825892857143
2007-09-07,21.6875,21.171400462962964,21.390690972222224,21.553189484126985,22.048487847222223,22.17930183531746
2007-09-08,22.57625,21.4871875,21.509569444444445,21.529015376984127,22.008368055555554,22.206893601190476
2007-09-09,21.57625,21.915000000000003,21.597708333333333,21.632542162698414,21.87118576388889,22.146438492063492
2007-09-10,20.635833333333334,21.816736111111112,21.535149305555557,21.537433035714287,21.632253472222224,22.026457093253967
2007-09-11,20.276666666666667,21.224913194444447,21.436284722222222,21.346423611111113,21.437784722222222,21.88540302579365
2007-09-12,19.77625,20.482407407407408,21.1843125,21.16387152777778,21.28750173611111,21.697801339285714
2007-09-13,19.89375,20.05451388888889,20.67554513888889,20.983487103174603,21.092557291666665,21.417947668650793
2007-09-14,19.915833333333335,19.903049768518517,20.229114583333335,20.802844742063492,20.913411458333332,21.178017113095237
2007-09-15,19.422083333333333,19.812800925925927,19.98195138888889,20.44627728174603,20.758550347222222,20.98764632936508
2007-09-16,18.814999999999998,19.59214699074074,19.695885416666666,19.98797867063492,20.566085069444444,20.810260416666665
2007-09-17,18.713333333333335,19.153547453703702,19.431798611111113,19.661478174603175,20.308055555555555,20.59945560515873
2007-09-18,18.5975,18.812204861111113,19.236565972222223,19.412259424603175,19.956055555555555,20.379341517857142
2007-09-19,18.653333333333332,18.66220486111111,18.951378472222224,19.207891865079365,19.590246527777776,20.18588169642857
2007-09-20,18.67888888888889,18.673935185185186,18.799925925925926,19.121064814814815,19.42800462962963,20.075800264550264
2008-06-18,NaN,NaN,NaN,NaN,NaN,NaN
2008-06-19,21.357,NaN,NaN,NaN,NaN,NaN
2008-06-20,21.077916666666667,NaN,NaN,NaN,NaN,NaN
2008-06-21,21.389583333333334,NaN,NaN,NaN,NaN,NaN
2008-06-22,20.6575,21.089646464646464,NaN,NaN,NaN,NaN
2008-06-23,20.436666666666667,20.94480902777778,NaN,NaN,NaN,NaN
2008-06-24,20.535416666666666,20.706793981481482,20.841848484848487,NaN,NaN,NaN
2008-06-25,20.89375,20.539091435185185,20.7859375,NaN,NaN,NaN
2008-06-26,20.98,20.719820601851854,20.77134722222222,20.86491341991342,NaN,NaN
2008-06-27,21.19625,20.891140046296297,20.723708333333335,20.847279265873016,NaN,NaN
2008-06-28,20.980416666666667,21.114710648148147,20.887878472222223,20.87666666666667,NaN,NaN
2008-06-29,20.47416666666667,20.941278935185185,20.912038194444445,20.786473214285714,20.87451893939394,NaN
2008-06-30,21.688333333333333,20.94673611111111,20.96829513888889,20.84810515873016,20.877116319444447,NaN
2008-07-01,22.576666666666668,21.23902777777778,21.199402777777777,21.104766865079366,20.985375,NaN
2008-07-02,23.39375,22.057100694444443,21.611614583333335,21.437048611111113,21.167661458333335,NaN
2008-07-03,23.505833333333335,22.941359953703703,22.064284722222222,21.800193452380952,21.476081597222223,21.381674783549784
2008-07-04,23.13375,23.2728125,22.598322916666667,22.12548363095238,21.755180555555555,21.4863814484127
2008-07-05,22.929583333333333,23.29984375,23.023479166666668,22.373534226190475,21.99588715277778,21.625100446428572
2008-07-06,23.59875,23.145601851851854,23.20822916666667,22.744903273809523,22.203815972222223,21.76568824404762
2008-07-07,24.572916666666668,23.451689814814817,23.435076388888888,23.199035218253968,22.52334548611111,22.023570188492066
2008-07-08,25.726666666666667,24.154039351851853,23.751086805555556,23.622824900793653,22.90768576388889,22.363795882936508
2008-07-09,26.224583333333335,25.13101851851852,24.32315277777778,24.06229662698413,23.460737847222223,22.74967261904762
2008-07-10,25.725416666666668,25.77896412037037,24.92254861111111,24.41515128968254,23.97301388888889,23.107672371031747
2008-07-11,24.799166666666668,25.78234953703704,25.333135416666668,24.698340773809523,24.270682291666667,23.411912202380954
2008-07-12,24.342916666666667,25.263269675925926,25.410100694444445,24.90376488095238,24.422588541666666,23.63864955357143
2008-07-13,24.22875,24.67240740740741,25.233569444444445,25.06949652777778,24.492328125,23.90719990079365
2008-07-14,23.89375,24.286452546296296,24.826395833333333,25.05609623015873,24.574774305555554,24.12756572420635
2008-07-15,23.989583333333332,24.073981481481482,24.38711111111111,24.869454365079363,24.65482986111111,24.246139632936508
2008-07-16,24.5075,24.023998842592594,24.178559027777776,24.595059523809525,24.755847222222222,24.328678075396827
2008-07-17,25.169583333333335,24.33846064814815,24.27151041666667,24.43873759920635,24.840805555555555,24.426944444444445
2008-07-18,24.767500000000002,24.688049768518518,24.396496527777778,24.40046875,24.815032986111113,24.54940476190476
2008-07-19,24.945416666666667,24.941047453703703,24.571315972222223,24.456964285714285,24.69885590277778,24.680364583333333
2008-07-20,24.663333333333334,24.904050925925926,24.769552083333334,24.538013392857142,24.578331597222224,24.803754960317463
2008-07-21,24.025833333333335,24.70480324074074,24.804979166666666,24.579761904761906,24.49176909722222,24.817929067460316
2008-07-22,23.959583333333335,24.360873842592593,24.58476388888889,24.579918154761906,24.42813715277778,24.724686259920635
2008-07-23,23.57125,24.039681712962963,24.38053125,24.544734623015874,24.388513888888887,24.569897073412697
2008-07-24,22.825416666666666,23.642934027777777,24.02611111111111,24.281679067460317,24.298713541666668,24.360208333333333
2008-07-25,23.194166666666668,23.295416666666668,23.619583333333335,23.9830753968254,24.194567708333334,24.1917720734127
2008-07-26,23.789166666666667,23.17540509259259,23.462892361111113,23.788030753968254,24.13393576388889,24.12249751984127
2008-07-27,24.0325,23.459149305555556,23.48507638888889,23.662435515873018,24.03492013888889,24.10022445436508
2008-07-28,23.902916666666666,23.817714120370372,23.486402777777776,23.602894345238095,23.93346701388889,24.091328125
2008-07-29,24.031666666666666,23.97105324074074,23.65976388888889,23.620964781746032,23.8429375,24.10044146825397
2008-07-30,23.97375,23.951724537037038,23.87886111111111,23.624739583333334,23.749222222222222,24.084737103174604
2008-07-31,24.3275,24.050486111111113,24.01145138888889,23.777559523809526,23.737171875,24.02961929563492
2008-08-01,24.557083333333335,24.188587962962963,24.097427083333333,24.00375248015873,23.79125173611111,23.99341393849206
2008-08-02,24.385833333333334,24.39789351851852,24.22696875,24.148663194444445,23.85668576388889,23.968346974206348
2008-08-03,24.090416666666666,24.394247685185185,24.265368055555555,24.178315972222222,23.962565972222222,23.920375744047618
2008-08-04,23.712916666666665,24.22150462962963,24.259295138888888,24.176805555555557,24.069078125,23.889849950396826
2008-08-05,23.49125,23.899010416666666,24.136083333333332,24.117787698412698,24.073767361111113,23.869376240079365
2008-08-06,22.736666666666668,23.56669560185185,23.89223263888889,24.013303571428573,23.99482986111111,23.81902157738095
2008-08-07,22.46375,23.091342592592593,23.475364583333334,23.765744047619048,23.851166666666668,23.771651785714287
2008-08-08,22.257083333333334,22.675775462962964,23.105,23.469439484126983,23.68518402777778,23.73659598214286
2008-08-09,22.43625,22.379554398148148,22.7870625,23.148301091269843,23.523178819444446,23.648482142857144
2008-08-10,22.374583333333334,22.37283564814815,22.55965972222222,22.899424603174605,23.347871527777777,23.538870287698412
2008-08-11,21.81791666666667,22.309658564814814,22.35077777777778,22.650076884920637,23.121505208333332,23.413441220238095
2008-08-12,21.70916666666667,22.09089699074074,22.18679513888889,22.373395337301588,22.83107986111111,23.245591517857143
2008-08-13,22.104166666666668,21.878709490740743,22.08142013888889,22.176001984126984,22.593210069444446,23.094652777777778
2008-08-14,22.528750000000002,21.958952546296295,22.09841666666667,22.164766865079365,22.442739583333335,22.965255456349208
2008-08-15,22.1175,22.199230324074076,22.082631944444444,22.169161706349207,22.321145833333333,22.819300595238097
2008-08-16,22.19375,22.287980324074073,22.068413194444446,22.136755952380952,22.209595486111112,22.642528521825398
2008-08-17,22.436666666666667,22.262905092592593,22.201621527777778,22.11765376984127,22.194208333333336,22.50853918650794
2008-08-18,22.79125,22.334508101851853,22.35611111111111,22.17981150793651,22.218765625,22.41494419642857
2008-08-19,22.54791666666667,22.583917824074074,22.443392361111112,22.348050595238096,22.27090451388889,22.360722966269844
2008-08-20,21.618333333333336,22.487858796296297,22.37479861111111,22.37871775793651,22.22871527777778,22.27735987103175
2008-08-21,21.60375,22.10861689814815,22.248493055555556,22.243953373015874,22.158453125,22.20436011904762
2008-08-22,21.804583333333333,21.73027777777778,22.123815972222225,22.147070932539684,22.16271875,22.158116319444446
2008-08-23,22.714583333333334,21.82031828703704,22.066284722222225,22.17829117063492,22.211197916666666,22.157523561507936
2008-08-24,23.170416666666668,22.320775462962963,22.09060763888889,22.268754960317462,22.267,22.193204365079367
2008-08-25,23.29375,22.86998263888889,22.353090277777778,22.37656001984127,22.363944444444446,22.27818576388889
2008-08-26,21.854166666666668,22.968373842592595,22.58213888888889,22.343058035714286,22.415315972222224,22.345554315476193
