date,totalperL,log_gloeo,wtr_mean_diff,wtr_max_diff,wtr_min_diff
2010-09-30,0.014147208,-1.750869961,-0.16796,-0.4564,0.2092
2010-10-07,0.042441624,-1.336849366,-2.12699,-2.0944,-2.29413
2011-04-28,0,-2.443697499,NA,NA,NA
2011-05-05,0,-2.443697499,NA,NA,NA
2011-05-12,0,-2.443697499,NA,NA,NA
2011-05-19,0,-2.443697499,0.57714,0.38414,1.15383
2011-05-26,0,-2.443697499,3.02612,3.54893,2.54847
2011-06-02,0.007073604,-1.971688914,1.26992,1.728,-0.68547
2011-06-10,0,-2.443697499,2.56542,4.57,3.31
2011-06-16,0,-2.443697499,0.09458333,-2.14,0.8
2011-06-23,0.007073604,-1.971688914,0.21083334,-0.49,0.81
2011-06-30,0,-2.443697499,1.96791666,1.97,2.27
2011-07-07,0,-2.443697499,2.45541667,2.53,2.17
2011-07-14,0.212208121,-0.665932217,-0.41791667,0.17,-0.84
2011-07-21,0.155619289,-0.79800432,2.27833334,1.91,2.73
2011-07-28,0.226355329,-0.638356522,-0.78666667,-0.7,-1.04
2011-08-04,0.84175888,-0.072958881,-0.5475,-0.86,0
2011-08-11,0.169766497,-0.761034826,-0.4125,-0.52,-0.68
2011-08-18,4.102690339,0.613449653,-0.7225,-0.35,-1.01
2011-08-25,2.383804559,0.377926019,-0.72166667,-1.02,-0.16
2011-09-01,1.053967001,0.024307891,-1.12458333,-1.16,-1
2011-09-08,0.459784262,-0.33405872,-0.28458333,-0.34,-0.5
2011-09-15,0.056588832,-1.220484084,-0.38083334,-0.16,-0.81
2011-09-22,0.014147208,-1.750869961,-1.75375333,-1.63,-1.78
2011-09-29,0,-2.443697499,0.481226,0.097,1.2005
2011-10-06,0,-2.443697499,-3.42748,-3.266,-3.60525
2012-02-16,0,-2.443697499,NA,NA,NA
2012-03-29,0,-2.443697499,NA,NA,NA
2012-04-13,0,-2.443697499,NA,NA,NA
2012-04-19,0,-2.443697499,NA,NA,NA
2012-05-03,0,-2.443697499,-0.0982,-0.39875,0.022
2012-05-10,0,-2.443697499,1.17677,1.353,0.968
2012-05-17,0,-2.443697499,1.36828,1.496,1.331
2012-05-24,0,-2.443697499,2.30397,2.255,2.425
2012-05-31,0,-2.443697499,1.78,1.95,1.46
2012-06-07,0.049515228,-1.27478095,-3.20458333,-3.08,-3.22
2012-06-14,0.141472081,-0.838416159,2.66833333,3.08,2.41
2012-06-21,0.50929949,-0.289967733,3.33041667,3.71,3.12
2012-06-28,0.007073604,-1.971688914,-2.96875,-3.88,-2.31
2012-07-05,0.304164973,-0.511780809,3.00458333,3.02,2.98
2012-07-12,0.113177665,-0.932640213,1.09208333,1.9,0.51
2012-07-19,0.282944161,-0.542808437,0.59666667,-0.17,1.2
2012-07-26,0.495152282,-0.302115104,-1.26,-1.38,-1.38
2012-08-02,0.679065987,-0.165791735,1.07541667,1.72,0.87
2012-08-09,1.17421827,0.071078287,0.59708333,0,0.86
2012-08-16,0.155619289,-0.79800432,-0.28125,-0.17,-0.18
2012-08-23,0.275870557,-0.553663939,-0.77875,-0.87,-1.03
2012-08-30,0.679065987,-0.165791735,-0.8925,-1.03,-0.69
2012-09-06,0.565888323,-0.244515176,-1.00041667,-0.52,-1
2012-09-13,0.643697967,-0.188895757,-1.13,-1,-1.49
2012-09-20,0.325385786,-0.482822866,-2.17583333,-2.96,-1.78
2012-09-27,0.021220812,-1.605184015,-0.92333,-0.97,-0.81
2012-10-05,0.028294416,-1.496285346,-1.377434,-1.33,-1.36
2013-04-24,0,-2.443697499,NA,NA,NA
2013-05-02,0,-2.443697499,NA,NA,NA
2013-05-14,0,-2.443697499,NA,NA,NA
2013-05-23,0,-2.443697499,3.25959,3.2108,3.2236
2013-05-30,0,-2.443697499,-0.62250333,0,-1.24
2013-06-06,0,-2.443697499,3.1425,2.54,3.62
2013-06-13,0.021220812,-1.605184015,-1.27,-1.43,-0.95
2013-06-20,0.021220812,-1.605184015,2.09666666,3.05,1.27
2013-06-27,0.021220812,-1.605184015,3.84,2.96,4.22
2013-07-03,0.063662436,-1.172227408,0.77291667,1.7,0.5
2013-07-11,0.07073604,-1.128800578,2.10708333,1.39,2.73
2013-07-18,0.077809644,-1.089324144,2.03,2.11,1.4
2013-07-25,0.360753806,-0.43847669,-3.52708333,-3.85,-2.95
2013-08-01,0.537593907,-0.266647102,0.42,0.52,0.51
2013-08-08,0.431489846,-0.361421052,-1.3525,-1.21,-1.69
2013-08-15,0.544667511,-0.261007489,-1.06208333,-1.33,-0.83
2013-08-22,2.907251258,0.464020014,1.82333333,2.37,1.5
2013-08-29,1.584487303,0.200874374,-1.02375,-1.37,-0.67
2013-09-05,4.2087944,0.624529027,0.04166667,-0.17,-0.16
2013-09-11,9.443261384,0.975287543,-1.63666667,-0.66,-1.98
2013-09-18,81.63646415,1.911903337,-2.11416667,-2.62,-1.78
2013-09-25,0.459784262,-0.33405872,-1.56541333,-1.94,-1.28
2013-10-02,0.233428933,-0.625198638,0.18717,0.21667,0.118
2013-10-09,0.028294416,-1.496285346,-1.45089,-1.39707,-1.4074
2014-05-29,0,-2.443697499,NA,NA,NA
2014-06-05,0.007073604,-1.971688914,1.65999667,1.59,2.69
2014-06-12,0,-2.443697499,0.96666666,0.81,1.43
2014-06-19,0.134398477,-0.860125707,1.60625,1.78,1.46
2014-06-26,0.226355329,-0.638356522,0.42625,0.49,0.16
2014-07-02,1.322763954,0.122662711,4.36375,4.43,3.81
2014-07-09,3.727789325,0.571870565,-1.50083333,-1.91,-0.51
2014-07-17,0.933715732,-0.028114094,1.0075,1.03,0.85
2014-07-23,1.71888578,0.236155645,1.27708333,1.58,1.39
2014-07-30,1.301543142,0.115658146,-2.34125,-2.44,-2.41
2014-08-06,1.704738572,0.232573947,0.82083334,0.52,1.02
2014-08-12,0.580035531,-0.233858277,0.17375,0.34,0
2014-08-20,2.447466995,0.389355182,-3.10583334,-3.05,-3.02
2014-08-27,0.304164973,-0.511780809,1.83791667,2.02,1.67
2014-09-04,1.145923853,0.060517987,0.06958333,0,0
2014-09-10,0.40319543,-0.390623935,-1.29,-1.68,-0.84
2014-09-17,1.966461921,0.294479877,-2.885,-2.62,-3.26
2014-09-25,0.099030457,-0.988723737,-1.38833333,-1.62,-1.12
2014-10-03,0.014147208,-1.750869961,-0.28503,-0.164,-0.267
2014-10-10,0.127324873,-0.882977839,-2.05776,-2.288,-1.98
2015-05-14,0,-2.443697499,NA,NA,NA
2015-05-21,0.007073604,-1.971688914,1.52993,1.63896,1.60248
2015-05-28,0.127324873,-0.882977839,2.52492,2.3832,2.09448
2015-06-05,0.007073604,-1.971688914,0.42422,0.42152,0.62928
2015-06-11,0.014147208,-1.750869961,2.13875,2.1,2.24
2015-06-19,0.091956852,-1.019738166,1.26416667,1.3,1.46
2015-07-02,0.077809644,-1.089324144,0.0225,-0.16,0
2015-07-09,0.042441624,-1.336849366,2.045,1.82,2.31
2015-07-16,0.190987309,-0.710885488,0.57791666,0.85,0.51
2015-07-30,1.400573599,0.147420803,2.41208334,2.43,1.53
2015-08-06,0.183913705,-0.726966985,-1.32166667,-1.57,-0.34
2015-08-13,0.381974618,-0.413891563,-0.67916667,-0.51,-0.86
2015-08-20,0.799317256,-0.095329208,2.40875,2.43,2.42
2015-08-25,0.664918779,-0.174886389,-0.96166666,-0.88,-1.22
2015-09-03,0.94786294,-0.021608123,-0.865,-0.86,-0.68
2015-09-10,14.10476644,1.149476731,0.7125,0.52,0.68
2015-09-17,2.100860398,0.323140758,-2.16333334,-1.9,-2.21
2015-09-24,0.77102284,-0.110909702,-1.84833333,-2.01,-1.65
2015-10-02,0.381974618,-0.413891563,NA,NA,NA
2015-10-12,0.063662436,-1.172227408,NA,NA,NA
2016-05-26,0.099030457,-0.988723737,NA,NA,NA
2016-06-03,0.063662436,-1.172227408,3.63363333,2.32667,4.89917
2016-06-16,0.106104061,-0.959777296,-3.88875,-3.57,-4.01
2016-06-23,1.605708116,0.206639202,4.54583334,3.89,4.82
2016-06-30,3.522654809,0.547313691,2.59375,2.87,2.49
2016-07-07,0.304164973,-0.511780809,0.20791666,0.69,-0.5
2016-07-14,8.863225854,0.947768179,0.50708334,-0.17,1.36
2016-07-21,3.642906077,0.561876942,-0.35916667,0.17,-0.69
2016-07-27,7.391916215,0.868968494,0.99291667,0.87,1.03
2016-08-04,1.619855324,0.210440342,-0.06416667,0,0
2016-08-15,4.106227141,0.613823556,0.64833333,0,1.04
2016-08-22,0.580035531,-0.233858277,-1.70291666,-1.73,-1.9
2016-08-31,2.185743646,0.340313935,0.04291666,0,0.17
2016-09-07,0.551741115,-0.255440172,-1.4075,-1.36,-1.35
2016-09-14,1.443015223,0.160353031,-0.08416666,0,-0.16
2016-09-21,1.046893397,0.021393327,-0.1175,-0.17,-0.17
2016-09-28,0.106104061,-0.959777296,-2.61916667,-2.47,-2.62
2016-10-05,0.134398477,-0.860125707,-1.73347,-1.69167,-1.65
