"wk_1","wk_2","wk_3","wk_4","wk_5","wk_6","wk_7","wk_8","wk_9","wk_10","wk_11","wk_12","wk_13","wk_14","wk_15","wk_16","wk_17","wk_18","wk_19","wk_20"
13.81,15.54,NA,17.44,17.77,19.06,19.06,20.35,21.17,24.03,23.52,22.84,25.42,23.68,21.01,20.19,19.54,17.28,NA,15.1645
15.23,20.35,17.77,17.93,21.67,21.34,24.03,25.42,25.24,24.03,24.55,23.52,23.68,21.01,23.34,20.68,18.09,17.61,17.8192,15.52507
14.50547,13.82,17.13,17.93,18.74,21.01,23.18,22.34,25.07,24.03,24.03,23.35,22.34,22.18,21.18,20.68,19.87,18.09,19.2905,15.68525
18.57,20.03,16.81,19.22,22.34,20.03,23.01,23.52,24.72,23.34,24.21,25.07,24.89,23.86,23.17,22.17,20.68,18.9,18.09,16.73
14.67,13.43,17.05,16.1,17.37,21.59,22.09,24.82,26.22,23.27,23.78,22.09,21.26,22.76,22.09,21.93,19.95,18.17,16.89,17.008
13.89,16.58,18.01,19.47,19.63,23.44,22.93,23.78,25.17,22.76,23.78,23.78,20.76,22.43,22.43,21.59,18.33,17.21,16.943,14.963
