date,MaxWindDir_deg,MaxWindSp_ms
8/27/13,357.4,3.8
8/28/13,358.1,5
8/29/13,323.4,5.2
8/30/13,334.9,7.3
8/31/13,349,6.8
9/1/13,329.3,5.4
9/2/13,358.8,5.8
9/3/13,349.1,7.3
9/4/13,314.3,9.6
9/5/13,359.6,9.3
9/6/13,338.1,7.3
9/7/13,312.4,7.2
9/8/13,345.9,13.3
9/9/13,355.1,6.5
9/10/13,349,9.8
9/11/13,347.3,14.1
9/12/13,355.2,8.9
9/13/13,353.6,9.6
9/14/13,350.9,8.7
9/15/13,307.4,7.3
9/16/13,358.5,10.4
9/17/13,359.5,7.2
9/18/13,315.3,5.5
9/19/13,359.3,4.8
9/20/13,340,4.5
9/21/13,358.5,13.1
9/22/13,344,10.3
9/23/13,349.1,12.9
9/24/13,359,10.2
9/25/13,359.4,9.5
9/26/13,359.9,5.8
9/27/13,358.2,4.7
9/28/13,358.7,4.6
9/29/13,355.4,3.8
9/30/13,359.3,3.5
10/1/13,359.3,7.6
10/2/13,353.7,9.7
10/3/13,356.1,5.7
10/4/13,350.6,4.6
10/5/13,354.7,3.6
10/6/13,351.7,7
10/7/13,300.3,12.8
10/8/13,355,10
10/9/13,356.7,3.4
10/10/13,358.3,4.9
10/11/13,354.1,3.6
10/12/13,342.8,3.6
10/13/13,358.8,2.6
10/14/13,358.3,4.8
10/15/13,359,3.5
10/16/13,359.1,3.7
10/17/13,350.6,4.6
10/18/13,269.3,6.5
10/19/13,332.1,4.6
10/20/13,341.2,5.4
10/21/13,354.1,2.5
10/22/13,326.2,4.5
10/23/13,355.9,3.2
10/24/13,NA,NA
10/25/13,NA,NA
10/26/13,NA,NA
10/27/13,NA,NA
10/28/13,NA,NA
10/29/13,NA,NA
10/30/13,NA,NA
10/31/13,NA,NA
11/1/13,NA,NA
11/2/13,NA,NA
11/3/13,NA,NA
11/4/13,NA,NA
11/5/13,NA,NA
11/6/13,NA,NA
11/7/13,NA,NA
11/8/13,NA,NA
11/9/13,NA,NA
11/10/13,NA,NA
11/11/13,NA,NA
11/12/13,NA,NA
11/13/13,NA,NA
11/14/13,NA,NA
11/15/13,NA,NA
11/16/13,NA,NA
11/17/13,NA,NA
11/18/13,NA,NA
11/19/13,NA,NA
11/20/13,NA,NA
11/21/13,NA,NA
11/22/13,NA,NA
11/23/13,NA,NA
11/24/13,NA,NA
11/25/13,NA,NA
11/26/13,NA,NA
11/27/13,NA,NA
11/28/13,NA,NA
11/29/13,NA,NA
11/30/13,NA,NA
12/1/13,NA,NA
12/2/13,NA,NA
12/3/13,NA,NA
12/4/13,NA,NA
12/5/13,NA,NA
12/6/13,NA,NA
12/7/13,NA,NA
12/8/13,NA,NA
12/9/13,NA,NA
12/10/13,NA,NA
12/11/13,NA,NA
12/12/13,NA,NA
12/13/13,NA,NA
12/14/13,NA,NA
12/15/13,NA,NA
12/16/13,NA,NA
12/17/13,NA,NA
12/18/13,NA,NA
12/19/13,NA,NA
12/20/13,NA,NA
12/21/13,NA,NA
12/22/13,NA,NA
12/23/13,NA,NA
12/24/13,NA,NA
12/25/13,NA,NA
12/26/13,NA,NA
12/27/13,NA,NA
12/28/13,NA,NA
12/29/13,NA,NA
12/30/13,NA,NA
12/31/13,NA,NA
1/1/14,NA,NA
1/2/14,NA,NA
1/3/14,NA,NA
1/4/14,NA,NA
1/5/14,356.8,9.1
1/6/14,347,14.4
1/7/14,289.2,7.3
1/8/14,355.4,4.7
1/9/14,316.8,3.6
1/10/14,346.1,2.2
1/11/14,356.8,25.4
1/12/14,353,6.1
1/13/14,346.9,4.1
1/14/14,354.6,3.8
1/15/14,355.8,3
1/16/14,354.2,2.5
1/17/14,354,4
1/18/14,290.7,1
1/19/14,355.4,5.3
1/20/14,353.5,4.8
1/21/14,351.3,4.2
1/22/14,355.5,5.1
1/23/14,336,4.6
1/24/14,349.9,5.7
1/25/14,328,5.7
1/26/14,359.4,6.7
1/27/14,357.3,6.6
1/28/14,349.5,6.2
1/29/14,345,8.2
1/30/14,350.4,4.4
1/31/14,336,4.7
2/1/14,342.4,3.2
2/2/14,356.9,4.2
2/3/14,354,3.7
2/4/14,323,3
2/5/14,351.4,4.9
2/6/14,358.3,3.8
2/7/14,339.3,5.7
2/8/14,325.4,5.7
2/9/14,354.3,2.7
2/10/14,347,4.8
2/11/14,358.2,7.5
2/12/14,352,2.6
2/13/14,297.4,1.7
2/14/14,355.7,31.6
2/15/14,315,2.7
2/16/14,343.5,5.8
2/17/14,356.2,5.2
2/18/14,356.9,5.8
2/19/14,357.7,6.8
2/20/14,318.7,4
2/21/14,356.6,7.3
2/22/14,327,5.1
2/23/14,297,4.1
2/24/14,352.8,6
2/25/14,358,6.6
2/26/14,333,5.6
2/27/14,354.3,5.7
2/28/14,353.8,6.1
3/1/14,358.5,4
