date,schmidt_mean_diff,schmidt_median_diff,schmidt_max_diff,schmidt_min_diff,schmidt_sd_diff,schmidt_range_diff
2011-06-13,48.10020419999998,54.14301209999999,27.81387459999999,76.5244543,-14.333751009999999,-48.71057961999999
2011-06-14,13.769508099999996,21.089488200000005,1.438316499999985,-5.58404139999999,1.4022081400000008,7.0223578700000004
2011-06-15,-11.489672300000024,-17.074912599999976,-0.31234919999997146,2.5186595000000125,8.520619700000001,-2.831008699999998
2011-06-16,-39.34499070000004,-37.52440819999998,-68.15337099999999,-13.398244399999982,-19.368892478,-54.75512657
2011-06-17,-60.70263459999995,-63.06282229999999,-53.208142899999984,-45.93481860000003,-1.18172794,-7.273324220000006
2011-06-18,1.4672224999999912,2.3048581000000468,1.1769391999999925,-0.47896420000000717,5.504737539999997,1.6559035300000033
2011-06-19,58.483842400000015,58.4357435,69.30573500000003,36.58014410000001,4.79648549,32.72559095999999
2011-06-20,59.25156320000002,55.68219720000002,61.03238980000003,51.99494859999999,2.79421202,9.037441089999994
2011-06-21,90.07189939999998,74.75190840000002,111.54920620000001,88.5994977,7.648963650000001,22.949708539999996
2011-06-22,112.96616750000001,122.25673299999997,79.63526489999998,126.82719039999998,-16.452864907,-47.19192561
2011-06-23,84.7179036,83.1647006,79.65354149999996,86.91475889999998,0.640000788,-7.261217389999999
2011-06-24,19.82695369999999,23.83411430000001,8.122787600000038,16.34285550000004,0.5773986299999994,-8.220067939999993
2011-06-25,-29.67160819999998,-28.48755140000003,-54.05117260000003,-13.746892399999979,-15.260495155999998,-40.30428028
2011-06-26,-33.27172569999999,-31.14574299999998,-53.21241450000002,-14.238450600000021,-7.476661196999999,-38.97396395999999
2011-06-27,3.309841000000006,9.695469099999968,10.856975799999987,-1.0273906999999554,3.5798029099999997,11.884366560000004
2011-06-28,-6.695652299999949,8.223041599999988,-33.53812529999999,6.221767499999999,-13.461398814,-39.759892719999996
2011-06-29,-18.066260699999987,-19.536504499999978,-2.184182499999963,-22.84199639999997,7.223748267000001,20.65781391
2011-06-30,14.942463600000053,21.535232500000006,13.358709000000033,-2.3404901999999765,3.151214379999999,15.69919909
2011-07-01,61.434057300000006,62.32832709999997,51.904597999999964,68.13039909999998,-3.8593440700000006,-16.225801080000004
2011-07-02,97.2006371,85.55263439999999,130.2967304,86.4618223,16.144714716,43.83490803000001
2011-07-03,118.38980900000001,117.91738829999997,121.00901570000002,121.73384140000002,0.608757604,-0.7248256300000051
2011-07-04,105.0542701,93.90600840000002,129.1143343,96.82278159999998,9.993400600000001,32.291552759999995
2011-07-05,117.89358769999996,116.34114669999997,139.82507679999998,116.61778170000002,6.7186165939999984,23.20729507
2011-07-06,111.67039289999997,111.6599099,141.51985530000002,70.9345146,5.874890289999998,70.58534076
2011-07-07,119.88717049999997,120.3710891,128.48453359999996,85.5603026,9.395274150000002,42.92423107
2011-07-08,112.82831920000001,111.20385950000002,112.81553030000003,118.27345960000002,-3.505195155999999,-5.457929440000001
