Date,daily_mean_wnd_ms,sampling_time_temp,sampling_time
2009-07-28,3.69047619,10,NA
2009-07-29,3.358333333,10,NA
2009-07-30,3.089583333,10,10
2009-07-31,1.955555556,11,NA
2009-08-01,2.346527778,11,NA
2009-08-02,3.449305556,11,NA
2009-08-03,2.727083333,11,NA
2009-08-04,2.636805556,11,NA
2009-08-05,3.675,11,NA
2009-08-06,2.986805556,11,11
2009-08-07,4.475694444,12,NA
2009-08-08,2.905797101,12,NA
2009-08-09,2.755555556,12,NA
2009-08-10,3.054861111,12,NA
2009-08-11,2.300719424,12,NA
2009-08-12,2.863888889,12,NA
2009-08-13,2.052083333,12,12
2009-08-14,1.990277778,13,NA
2009-08-15,2.000694444,13,NA
2009-08-16,1.718055556,13,NA
2009-08-17,2.547222222,13,NA
2009-08-18,3.500694444,13,NA
2009-08-19,3.029166667,13,NA
2009-08-20,2.515277778,13,13
2009-08-21,2.960416667,14,NA
2009-08-22,2.088194444,14,NA
2009-08-23,2.650694444,14,NA
2009-08-24,2.172222222,14,NA
2009-08-25,2.615277778,14,NA
2009-08-26,4.471527778,14,NA
2009-08-27,3.272222222,14,14
2009-08-28,2.682638889,15,NA
2009-08-29,5.195833333,15,NA
2009-08-30,2.5375,15,NA
2009-08-31,3.984722222,15,NA
2009-09-01,2.489583333,15,15
2009-09-02,2.272222222,16,NA
2009-09-03,1.834722222,16,NA
2009-09-04,2.516666667,16,NA
2009-09-05,3.828472222,16,NA
2009-09-06,2.694444444,16,NA
2009-09-07,1.997916667,16,NA
2009-09-08,2.6,16,16
2009-09-09,2.480555556,17,NA
2009-09-10,3.195138889,17,NA
2009-09-11,3.361805556,17,NA
2009-09-12,2.909027778,17,NA
2009-09-13,3.307638889,17,NA
2009-09-14,3.052777778,17,NA
2009-09-15,3.447222222,17,17
2009-09-16,3.253472222,18,NA
2009-09-17,2.309027778,18,NA
2009-09-18,5.423611111,18,NA
2009-09-19,4.574305556,18,NA
2009-09-20,3.075694444,18,NA
2009-09-21,2.197222222,18,18
2009-09-22,2.595138889,19,NA
2009-09-23,3.611805556,19,NA
2009-09-24,3.746527778,19,19
2009-09-29,4.317361111,20,NA
2009-09-30,3.852083333,20,NA
2009-10-01,3.525,20,NA
2009-10-02,2.913194444,20,NA
2009-10-03,3.808333333,20,NA
2009-10-04,2.003472222,20,NA
2009-10-05,4.454166667,20,20
2010-05-19,NA,21,NA
2010-05-20,3.76547619,21,NA
2010-05-21,1.738888889,21,NA
2010-05-22,2.495833333,21,NA
2010-05-23,2.190277778,21,NA
2010-05-24,1.875694444,21,NA
2010-05-25,2.117361111,21,21
2010-05-29,2.491666667,22,NA
2010-05-30,4.554166667,22,NA
2010-05-31,2.840972222,22,NA
2010-06-01,3.231944444,22,NA
2010-06-02,1.959027778,22,NA
2010-06-03,2.734027778,22,NA
2010-06-04,1.784722222,22,22
2010-06-05,3.644444444,23,NA
2010-06-06,4.04375,23,NA
2010-06-07,4.215277778,23,NA
2010-06-08,4.635416667,23,NA
2010-06-09,3.329861111,23,NA
2010-06-10,3.278472222,23,23
2010-06-11,1.365972222,24,NA
2010-06-12,2.172222222,24,NA
2010-06-13,2.455555556,24,NA
2010-06-14,2.514583333,24,NA
2010-06-15,3.58125,24,24
2010-06-18,2.772916667,25,NA
2010-06-19,4.073611111,25,NA
2010-06-20,3.333333333,25,NA
2010-06-21,3.754166667,25,NA
2010-06-22,2.189583333,25,NA
2010-06-23,3.392361111,25,NA
2010-06-24,4.013194444,25,25
2010-06-25,2.647916667,26,NA
2010-06-26,3.279166667,26,NA
2010-06-27,2.122222222,26,NA
2010-06-28,3.102083333,26,NA
2010-06-29,4.566666667,26,NA
2010-06-30,4.410416667,26,NA
2010-07-01,4.426388889,26,26
2010-07-02,3.336111111,27,NA
2010-07-03,3.376388889,27,NA
2010-07-04,3.7,27,NA
2010-07-05,2.194444444,27,NA
2010-07-06,2.979166667,27,NA
2010-07-07,1.397916667,27,NA
2010-07-08,2.763194444,27,27
2010-07-09,4.751388889,28,NA
2010-07-10,2.325694444,28,NA
2010-07-11,1.997916667,28,NA
2010-07-12,2.9625,28,NA
2010-07-13,2.263194444,28,NA
2010-07-14,2.502083333,28,NA
2010-07-15,2.305555556,28,28
2010-07-16,2.388194444,29,NA
2010-07-17,4.657638889,29,NA
2010-07-18,4.508333333,29,NA
2010-07-19,2.338888889,29,NA
2010-07-20,2.159027778,29,NA
2010-07-21,3.172916667,29,NA
2010-07-22,3.997222222,29,29
2010-07-23,2.811111111,30,NA
2010-07-24,2.059722222,30,NA
