<<<<<<< HEAD
date,WindSp_ms_mean,AveWindSp_ms_mean,MaxWindSp_ms_mean,WindSp_ms_median,AveWindSp_ms_median,MaxWindSp_ms_median,WindSp_ms_min,AveWindSp_ms_min,MaxWindSp_ms_min,WindSp_ms_max,AveWindSp_ms_max,MaxWindSp_ms_max,WindSp_ms_sd,AveWindSp_ms_sd,MaxWindSp_ms_sd
2007-08-27,1.783333333,NA,NA,1.7,NA,NA,1.5,NA,NA,2.3,NA,NA,0.285773803,NA,NA
2007-08-28,1.645138889,NA,NA,1.6,NA,NA,0.1,NA,NA,3.8,NA,NA,0.939411351,NA,NA
2007-08-29,2.424305556,NA,NA,2.3,NA,NA,0.6,NA,NA,5.3,NA,NA,1.037967792,NA,NA
2007-08-30,2.264583333,NA,NA,1.8,NA,NA,0.3,NA,NA,10.3,NA,NA,1.552055652,NA,NA
2007-08-31,3.097222222,NA,NA,2.9,NA,NA,0.3,NA,NA,7.7,NA,NA,1.391178222,NA,NA
2007-09-01,4.371527778,NA,NA,4.3,NA,NA,0.3,NA,NA,9.6,NA,NA,1.956007894,NA,NA
2007-09-02,2.727083333,NA,NA,2.8,NA,NA,0.6,NA,NA,5,NA,NA,0.986710205,NA,NA
2007-09-03,4.417361111,NA,NA,4.3,NA,NA,0.9,NA,NA,10,NA,NA,1.830828841,NA,NA
2007-09-04,3.659027778,NA,NA,3.3,NA,NA,0.5,NA,NA,9.6,NA,NA,1.88198724,NA,NA
2007-09-05,2.685416667,NA,NA,2.5,NA,NA,0.2,NA,NA,5.7,NA,NA,1.280568534,NA,NA
2007-09-06,3.117361111,NA,NA,3,NA,NA,0.6,NA,NA,6.8,NA,NA,1.352507635,NA,NA
2007-09-07,4.332638889,NA,NA,4,NA,NA,1.6,NA,NA,10.1,NA,NA,1.529378038,NA,NA
2007-09-08,3.669444444,NA,NA,3.75,NA,NA,0.3,NA,NA,7.8,NA,NA,1.828877824,NA,NA
2007-09-09,3.004166667,NA,NA,2.9,NA,NA,0.3,NA,NA,6.7,NA,NA,1.379463512,NA,NA
2007-09-10,2.24375,NA,NA,2.35,NA,NA,0.3,NA,NA,3.7,NA,NA,0.658640128,NA,NA
2007-09-11,3.588888889,NA,NA,3.5,NA,NA,0.6,NA,NA,6.6,NA,NA,1.055330201,NA,NA
2007-09-12,4.870138889,NA,NA,4.55,NA,NA,1,NA,NA,10.5,NA,NA,2.147370481,NA,NA
2007-09-13,2.198611111,NA,NA,2,NA,NA,0.3,NA,NA,5.3,NA,NA,1.081308849,NA,NA
2007-09-14,3.99375,NA,NA,3.7,NA,NA,0.8,NA,NA,9.4,NA,NA,1.996052704,NA,NA
2007-09-15,4.588194444,NA,NA,4.3,NA,NA,0.6,NA,NA,11.4,NA,NA,1.71274517,NA,NA
2007-09-16,2.684722222,NA,NA,2.55,NA,NA,0.2,NA,NA,6.5,NA,NA,1.373134816,NA,NA
2007-09-17,1.771527778,NA,NA,1.75,NA,NA,0.2,NA,NA,3.9,NA,NA,0.870950224,NA,NA
2007-09-18,2.154861111,NA,NA,2.1,NA,NA,0.2,NA,NA,4.9,NA,NA,1.000617282,NA,NA
2007-09-19,1.435416667,NA,NA,1.35,NA,NA,0.2,NA,NA,3.2,NA,NA,0.776982576,NA,NA
2007-09-20,2.26875,NA,NA,2.3,NA,NA,0.2,NA,NA,4.8,NA,NA,1.127313084,NA,NA
2007-09-21,1.569444444,NA,NA,1.5,NA,NA,0.1,NA,NA,3.5,NA,NA,0.794234273,NA,NA
2007-09-22,3.264583333,NA,NA,3.05,NA,NA,0.1,NA,NA,8.3,NA,NA,1.720118257,NA,NA
2007-09-23,4.354166667,NA,NA,4,NA,NA,1.3,NA,NA,8.6,NA,NA,1.63949826,NA,NA
2007-09-24,3.869444444,NA,NA,3.8,NA,NA,0.2,NA,NA,7.6,NA,NA,1.42913137,NA,NA
2007-09-25,3.834722222,NA,NA,3.65,NA,NA,0.4,NA,NA,6.9,NA,NA,1.50608646,NA,NA
2007-09-26,3.477777778,NA,NA,3.15,NA,NA,0.2,NA,NA,9,NA,NA,2.090151547,NA,NA
2007-09-27,2.139583333,NA,NA,2,NA,NA,0.2,NA,NA,6.4,NA,NA,1.341860662,NA,NA
2007-09-28,3.483333333,NA,NA,3.5,NA,NA,0.3,NA,NA,6.7,NA,NA,1.410896655,NA,NA
2007-09-29,4.313888889,NA,NA,4.2,NA,NA,0.7,NA,NA,8.3,NA,NA,1.982391404,NA,NA
2007-09-30,2.458333333,NA,NA,2.5,NA,NA,0.4,NA,NA,4.9,NA,NA,0.97302786,NA,NA
