date,MaxWindSp_ms_max_ALL_InstFilterMax,ma_2,ma_3,ma_5,ma_7,ma_10,ma_14
2007-08-27,2.3,NA,NA,NA,NA,NA,NA
2007-08-28,3.8,3.05,NA,NA,NA,NA,NA
2007-08-29,5.3,4.55,3.8,NA,NA,NA,NA
2007-08-30,10.3,7.800000000000001,6.466666666666667,NA,NA,NA,NA
2007-08-31,7.7,9,7.766666666666667,5.88,NA,NA,NA
2007-09-01,9.6,8.65,9.2,7.34,NA,NA,NA
2007-09-02,5,7.3,7.433333333333334,7.58,6.285714285714286,NA,NA
2007-09-03,10,7.5,8.2,8.52,7.385714285714286,NA,NA
2007-09-04,9.6,9.8,8.2,8.379999999999999,8.214285714285714,NA,NA
2007-09-05,5.7,7.65,8.433333333333334,7.9799999999999995,8.271428571428572,6.93,NA
2007-09-06,6.8,6.25,7.366666666666666,7.42,7.771428571428571,7.38,NA
2007-09-07,10.1,8.45,7.533333333333333,8.44,8.114285714285714,8.01,NA
2007-09-08,7.8,8.95,8.233333333333333,8,7.857142857142857,8.26,NA
2007-09-09,6.7,7.25,8.2,7.42,8.1,7.9,7.192857142857143
2007-09-10,3.7,5.2,6.066666666666666,7.02,7.2,7.5,7.292857142857143
2007-09-11,6.6,5.15,5.666666666666667,6.9799999999999995,6.771428571428571,7.2,7.492857142857143
2007-09-12,10.5,8.55,6.933333333333334,7.06,7.457142857142857,7.75,7.864285714285714
2007-09-13,5.3,7.9,7.466666666666667,6.56,7.242857142857143,7.28,7.507142857142857
2007-09-14,9.4,7.35,8.4,7.1,7.142857142857143,7.26,7.628571428571428
2007-09-15,11.4,10.4,8.7,8.64,7.6571428571428575,7.83,7.757142857142857
2007-09-16,6.5,8.95,9.1,8.620000000000001,7.628571428571429,7.8,7.864285714285714
2007-09-17,3.9,5.2,7.266666666666667,7.3,7.6571428571428575,7.18,7.428571428571429
2007-09-18,4.9,4.4,5.1,7.220000000000001,7.414285714285715,6.89,7.0928571428571425
2007-09-19,3.2,4.050000000000001,4,5.98,6.371428571428572,6.54,6.914285714285715
2007-09-20,4.8,4,4.3,4.66,6.3,6.65,6.771428571428571
2007-09-21,3.5,4.15,3.8333333333333335,4.0600000000000005,5.457142857142857,6.34,6.3
2007-09-22,8.3,5.9,5.533333333333333,4.94,5.014285714285714,6.12,6.335714285714285
2007-09-23,8.6,8.45,6.8,5.68,5.314285714285714,6.45,6.4714285714285715
2007-09-24,7.6,8.1,8.166666666666666,6.56,5.8428571428571425,6.2700000000000005,6.75
2007-09-25,6.9,7.25,7.7,6.98,6.128571428571429,5.82,6.771428571428571
2007-09-26,9,7.95,7.833333333333333,8.08,6.957142857142857,6.07,6.664285714285715
