date,log_gloeo,date_1weeklag,site,watertemp_daily_mean,watertemp_daily_median,watertemp_daily_max,watertemp_daily_min,watertemp_daily_sd,watertemp_daily_range,watertemp_daily_cv,watertemp_daily_obs
2009-06-04,-1.971688914,2009-05-28,midge,14.29,14.28,14.59,13.97,0.198669487,0.62,0.013902693,24
2009-06-17,-1.409291661,2009-06-10,midge,16.28166667,16.255,16.49,16.02,0.149598496,0.47,0.009188156,24
2009-06-25,-1.750869961,2009-06-18,midge,18.87708333,18.9,19.38,18.41,0.263562206,0.97,0.01396202,24
2009-07-02,-2.443697499,2009-06-25,midge,18.74208333,18.25,20.35,17.77,0.852668339,2.58,0.045494854,24
2009-07-09,-1.089324144,2009-07-02,midge,19.42833333,19.38,19.71,19.06,0.175985836,0.65,0.009058206,24
2009-07-16,-0.665932217,2009-07-09,midge,19.53666667,19.54,20.35,19.06,0.462757958,1.29,0.023686638,24
2009-07-23,-0.255440172,2009-07-16,midge,20.6975,20.68,21.17,20.35,0.244935661,0.82,0.01183407,24
2009-07-30,-0.091519882,2009-07-23,midge,21.69375,21.67,22.01,21.17,0.210832975,0.84,0.009718604,24
2009-08-06,-0.446991049,2009-07-30,midge,24.23458333,24.21,24.55,24.03,0.182779962,0.52,0.007542113,24
2009-08-13,-1.128800578,2009-08-06,midge,23.94625,24.03,24.38,23.52,0.255850033,0.86,0.010684347,24
2009-08-20,0.512878806,2009-08-13,midge,22.98666667,23.01,23.17,22.84,0.122675488,0.33,0.005336811,24
2009-08-27,-0.005757233,2009-08-20,midge,25.72583333,25.76,26.28,25.42,0.232077885,0.86,0.0090212,24
2009-09-01,-0.249943322,2009-08-25,midge,24.96041667,24.72,25.76,24.38,0.433524275,1.38,0.017368471,24
2009-09-08,-0.57622453,2009-09-01,midge,21.38083333,21.255,21.84,21.01,0.307018151,0.83,0.014359503,24
2009-09-15,-0.988723737,2009-09-08,midge,20.79708333,20.51,21.67,20.19,0.532275502,1.48,0.025593757,24
2009-09-21,0.659543003,2009-09-14,midge,19.68625,19.71,19.87,19.38,0.148289156,0.49,0.007532626,24
2009-10-05,-0.118914698,2009-09-28,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-04-15,-1.496285346,2010-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-04-30,-0.988723737,2010-04-23,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-13,-2.443697499,2010-05-06,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-05-25,-1.27478095,2010-05-18,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010-06-04,-0.81774036,2010-05-28,midge,17.76708333,17.77,19.71,15.23,1.452782874,4.48,0.081768225,24
2010-06-10,-1.750869961,2010-06-03,midge,21.23,21.255,21.67,20.84,0.292812449,0.83,0.01379239,24
2010-06-15,-1.605184015,2010-06-08,midge,19.19375,19.22,19.71,18.9,0.204935037,0.81,0.010677176,24
2010-06-24,-1.128800578,2010-06-17,midge,18.03666667,18.09,18.09,17.93,0.077046946,0.16,0.004271684,24
2010-07-01,0.285021491,2010-06-24,midge,22.09666667,22.17,22.51,21.67,0.287684408,0.84,0.013019358,24
2010-07-08,-1.172227408,2010-07-01,midge,21.78458333,21.84,22.17,21.34,0.239037548,0.83,0.010972785,24
2010-07-15,-1.220484084,2010-07-08,midge,25.10625,24.635,26.46,24.03,0.924205005,2.43,0.03681175,24
2010-07-22,-0.308318625,2010-07-15,midge,25.96666667,25.93,26.81,25.42,0.481471175,1.39,0.018541894,24
2010-07-29,-0.959777296,2010-07-22,midge,25.61083333,25.59,25.93,25.24,0.196975317,0.69,0.007691094,24
2010-08-05,1.197265187,2010-07-29,midge,24.28625,24.295,24.55,24.03,0.161105218,0.52,0.006633598,24
