date,ppt_mm,sum_3,sum_5,sum_7,sum_10,sum_14
2005-07-16,2.19,6.15,6.15,9.600000000000001,46.5,47.72
2005-07-17,0.53,6.680000000000001,6.680000000000001,6.690000000000001,24.01,48.25
2005-07-18,0.14,2.8600000000000003,6.82,6.820000000000001,24.150000000000002,48.39
2005-07-19,11.86,12.530000000000001,18.68,18.68,22.13,60.25
2005-07-20,5.66,17.66,20.38,24.34,24.35,64.69
2005-07-21,0,17.52,18.19,24.34,24.34,41.67
2005-07-22,0,5.660000000000001,17.66,20.38,24.34,41.67
2005-07-23,6.56,6.5600000000000005,24.08,24.75,30.900000000000002,34.349999999999994
2005-07-24,0,6.5600000000000005,12.22,24.22,30.900000000000002,30.909999999999997
2005-07-25,0,6.5600000000000005,6.5600000000000005,24.08,26.94,30.9
2005-07-26,0,6.800116025829084e-16,6.5600000000000005,12.22,24.75,30.9
2005-07-27,0,6.800116025829084e-16,6.5600000000000005,6.5600000000000005,24.22,30.9
2005-07-28,18.63,18.63,18.63,25.189999999999998,42.71,49.529999999999994
2005-07-29,0,18.63,18.63,25.189999999999998,30.849999999999998,45.57
2005-07-30,0,18.63,18.63,18.63,25.189999999999998,43.379999999999995
2005-07-31,0,6.800116025829084e-16,18.63,18.63,25.189999999999998,42.849999999999994
2005-08-01,1.52,1.5200000000000007,20.150000000000002,20.15,26.71,44.23
2005-08-02,5.56,7.08,7.08,25.71,25.71,37.93
2005-08-03,0,7.08,7.08,25.71,25.71,32.269999999999996
2005-08-04,0,5.5600000000000005,7.08,7.08,25.71,32.269999999999996
2005-08-05,0,6.800116025829084e-16,7.08,7.08,25.71,32.269999999999996
2005-08-06,0,6.800116025829084e-16,5.5600000000000005,7.08,25.71,25.709999999999997
2005-08-07,0,6.800116025829084e-16,7.355227538141662e-16,7.08,7.08,25.709999999999997
2005-08-08,0,6.800116025829084e-16,7.355227538141662e-16,5.5600000000000005,7.08,25.709999999999997
2005-08-09,0,6.800116025829084e-16,7.355227538141662e-16,5.898059818321144e-16,7.08,25.709999999999997
2005-08-10,0,6.800116025829084e-16,7.355227538141662e-16,5.898059818321144e-16,7.08,25.709999999999997
2005-08-11,0,6.800116025829084e-16,7.355227538141662e-16,5.898059818321144e-16,5.5600000000000005,7.079999999999998
2005-08-12,0,6.800116025829084e-16,7.355227538141662e-16,5.898059818321144e-16,7.008282842946301e-16,7.079999999999998
2005-08-13,5.83,5.830000000000001,5.830000000000001,5.830000000000001,5.830000000000001,12.909999999999998
2005-08-14,0,5.830000000000001,5.830000000000001,5.830000000000001,5.830000000000001,12.909999999999998
2005-08-15,22.94,28.770000000000003,28.770000000000003,28.770000000000003,28.770000000000003,34.33
2005-08-16,1.11,24.05,29.880000000000003,29.880000000000003,29.880000000000003,29.880000000000003
2005-08-17,0.13,24.180000000000003,30.01,30.01,30.01,30.01
2005-08-18,0,1.240000000000001,24.180000000000003,30.01,30.01,30.01
2005-08-19,0,0.1300000000000009,24.180000000000003,30.01,30.01,30.01
2005-08-20,0.42,0.4200000000000009,1.6600000000000026,24.6,30.430000000000003,30.43
2005-08-21,6.35,6.7700000000000005,6.900000000000002,30.950000000000003,36.78,36.78
2005-08-22,0.1,6.87,6.870000000000002,8.110000000000001,36.88,36.88
2005-08-23,0,6.45,6.870000000000002,7.000000000000002,31.05,36.88
2005-08-24,0,0.10000000000000091,6.870000000000002,6.870000000000002,31.05,36.88
2005-08-25,0.8,0.8000000000000009,7.250000000000002,7.670000000000002,8.910000000000002,37.68
2005-08-26,0,0.8000000000000009,0.9000000000000022,7.670000000000002,7.800000000000001,37.68
2005-08-27,0,0.8000000000000009,0.8000000000000023,7.250000000000002,7.670000000000001,31.85
2005-08-28,0,9.298117831235686e-16,0.8000000000000023,0.900000000000002,7.670000000000001,31.85
2005-08-29,25.45,25.45,26.25,26.25,33.12,34.36
2005-08-30,6.47,31.92,31.92,32.72,39.17,39.72
2005-08-31,8.19,40.11,40.11,40.91,41.01,47.779999999999994
2005-09-01,26.91,41.57,67.02,67.02,67.82,74.69
2005-09-02,0,35.1,67.02,67.02,67.82,74.69
2005-09-03,0,26.91,41.57,67.02,67.82,74.27
2005-09-04,0,9.298117831235686e-16,35.1,67.02,67.02,67.92
2005-09-05,0,9.298117831235686e-16,26.910000000000004,41.57,67.02,67.82
2005-09-06,0,9.298117831235686e-16,2.456368441983159e-15,35.1,67.02,67.82
2005-09-07,0,9.298117831235686e-16,2.456368441983159e-15,26.91,67.02,67.82
2005-09-08,0,9.298117831235686e-16,2.456368441983159e-15,-1.3183898417423734e-16,41.57,67.02
2005-09-09,0,9.298117831235686e-16,2.456368441983159e-15,-1.3183898417423734e-16,35.1,67.02
2005-09-10,0,9.298117831235686e-16,2.456368441983159e-15,-1.3183898417423734e-16,26.91,67.02
2005-09-11,0,9.298117831235686e-16,2.456368441983159e-15,-1.3183898417423734e-16,6.938893903907228e-18,67.02
2005-09-12,0,9.298117831235686e-16,2.456368441983159e-15,-1.3183898417423734e-16,6.938893903907228e-18,41.57
2005-09-13,0,9.298117831235686e-16,2.456368441983159e-15,-1.3183898417423734e-16,6.938893903907228e-18,35.1
2005-09-14,0,9.298117831235686e-16,2.456368441983159e-15,-1.3183898417423734e-16,6.938893903907228e-18,26.91
2005-09-15,14.01,14.010000000000002,14.010000000000002,14.01,14.01,14.009999999999998
2005-09-16,4.63,18.64,18.64,18.64,18.64,18.639999999999997
2005-09-17,8.25,26.89,26.89,26.89,26.89,26.889999999999997
2005-09-18,0.2,13.08,27.090000000000003,27.09,27.09,27.089999999999996
2005-09-19,0,8.450000000000001,27.090000000000003,27.09,27.09,27.089999999999996
2005-09-20,0,0.20000000000000023,13.080000000000002,27.09,27.09,27.089999999999996
2005-09-21,2.21,2.21,10.660000000000002,29.3,29.3,29.299999999999997
2005-09-22,0,2.21,2.4100000000000024,15.29,29.3,29.299999999999997
2005-09-23,0,2.21,2.2100000000000026,10.66,29.3,29.299999999999997
2005-09-24,0,4.163336342344337e-17,2.2100000000000026,2.4099999999999997,29.3,29.299999999999997
2005-09-25,0,4.163336342344337e-17,2.2100000000000026,2.21,15.29,29.299999999999997
2005-09-26,0,4.163336342344337e-17,2.456368441983159e-15,2.21,10.66,29.299999999999997
2005-09-27,17.3,17.3,17.300000000000004,19.51,19.71,46.6
2005-09-28,0,17.3,17.300000000000004,17.3,19.51,46.6
2005-09-29,0,17.3,17.300000000000004,17.3,19.51,32.589999999999996
2005-09-30,15.86,15.86,33.160000000000004,33.16,35.37,43.82
2005-10-01,0,15.86,33.160000000000004,33.16,33.160000000000004,35.57
2005-10-02,0,15.86,15.860000000000001,33.16,33.160000000000004,35.37
