site,date,year,month,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL,totalperL_diff,log_gloeo,week,schmidt.stability_mean,schmidt.stability_max,schmidt.stability_min,schmidt.stability_median,schmidt.stability_sd,schmidt.stability_range,schmidt.stability_CV,schmidt.stability_number_obs,schmidt_mean_diff,schmidt_median_diff,schmidt_max_diff,schmidt_min_diff,schmidt_sd_diff,schmidt_range_diff
Midge,2011-09-01,2011,9,1,244,1.053967001,0,1.053967001,-1.329837558,0.024307891,35,316.9449983,358.662781,243.6416635,322.601964,24.82432008,115.0211176,0.078323748,144,-84.9839566,-80.36721449999999,-84.00697070000001,-115.6810537,5.838880450000001,31.674083109999998
Midge,2011-09-08,2011,9,8,251,0.459784262,0,0.459784262,-0.594182739,-0.33405872,36,253.7098426,284.6732815,214.4548296,253.4264567,14.88833352,70.21845194,0.058682522,144,-63.23515570000001,-69.17550730000002,-73.98949950000002,-29.186833899999982,-9.93598656,-44.80266566
Midge,2011-09-15,2011,9,15,258,0.056588832,0,0.056588832,-0.40319543,-1.220484084,37,219.7505116,282.1283724,122.6160685,223.7506974,31.27312473,159.5123039,0.142311954,144,-33.95933099999999,-29.67575929999998,-2.544909099999984,-91.83876110000001,16.38479121,89.29385196000001
Midge,2011-09-22,2011,9,22,265,0.014147208,0,0.014147208,-0.042441624,-1.750869961,38,56.38286635,92.03022758,27.69504755,54.14410606,13.23797717,64.33518003,0.234787233,144,-163.36764525,-169.60659134000002,-190.09814482,-94.92102095,-18.03514756,-95.17712387
Midge,2011-09-29,2011,9,29,272,0,0,0,-0.014147208,-2.443697499,39,125.7373978,217.2805007,54.56426608,129.3914179,38.49679488,162.7162347,0.306168217,144,69.35453145,75.24731184,125.25027312,26.86921853,25.258817710000002,98.38105467
Midge,2011-10-06,2011,10,6,279,0,0,0,0,-2.443697499,40,-0.600840032,9.807354667,-3.875088747,-0.823340223,2.27013907,13.68244341,-3.778275331,144,-126.33823783199999,-130.214758123,-207.473146033,-58.439354827,-36.226655810000004,-149.03379129
Midge,2012-05-24,2012,5,24,145,0,0,0,0,-2.443697499,21,223.596435,243.5464298,207.2526007,222.7507739,7.16936698,36.29382909,0.03206387,144,134.06266117,132.38838309000002,121.8661065,152.42083545,-9.10074568,-30.554728999999995
Midge,2012-05-31,2012,5,31,152,0,0,0,0,-2.443697499,22,309.3298924,346.4027329,280.6915547,307.7380098,21.90691365,65.71117815,0.070820552,144,85.73345739999999,84.98723589999997,102.85630309999999,73.438954,14.73754667,29.417349059999992
Midge,2012-06-07,2012,6,7,159,0.042441624,0.007073604,0.049515228,0.049515228,-1.27478095,23,207.7540443,233.4505108,179.6725423,207.5220168,13.32000581,53.77796857,0.064114303,144,-101.5758481,-100.215993,-112.9522221,-101.01901239999998,-8.58690784,-11.933209579999996
Midge,2012-06-14,2012,6,14,166,0.141472081,0,0.141472081,0.091956853,-0.838416159,24,300.5740496,334.9035747,255.9186984,300.1627228,21.61883611,78.98487638,0.071925158,144,92.82000530000002,92.640706,101.45306389999999,76.24615610000001,8.2988303,25.206907810000004
Midge,2012-06-21,2012,6,21,173,0.502225886,0.007073604,0.50929949,0.36782741,-0.289967733,25,436.7143479,479.9186154,399.6823082,433.5221332,24.53844972,80.23630719,0.056188788,144,136.14029829999998,133.3594104,145.01504070000004,143.7636098,2.919613609999999,1.2514308100000022
Midge,2012-06-28,2012,6,28,180,0.007073604,0,0.007073604,-0.502225886,-1.971688914,26,346.8916297,388.7573696,315.1811159,343.6509019,16.46009892,73.57625364,0.047450263,144,-89.8227182,-89.87123129999998,-91.16124580000002,-84.50119230000001,-8.078350799999999,-6.660053550000001
Midge,2012-07-05,2012,7,5,187,0.282944161,0.021220812,0.304164973,0.297091369,-0.511780809,27,465.7830349,498.6120958,417.1507761,464.7915874,20.37951032,81.46131973,0.043753226,144,118.89140520000001,121.14068550000002,109.85472620000002,101.96966019999996,3.9194114000000013,7.885066089999995
Midge,2012-07-12,2012,7,12,194,0.084883248,0.028294416,0.113177665,-0.190987309,-0.932640213,28,505.3992482,530.5179061,475.8327698,505.1924343,12.06842934,54.68513634,0.023879001,144,39.61621329999997,40.400846899999976,31.905810299999985,58.68199370000002,-8.311080980000002,-26.77618339
Midge,2012-07-19,2012,7,19,201,0.226355329,0.056588832,0.282944161,0.169766497,-0.542808437,29,566.7535293,605.0622919,537.576374,570.3040416,16.84635892,67.48591787,0.029724312,144,61.35428109999998,65.1116073,74.54438579999999,61.74360419999999,4.77792958,12.800781529999995
