"X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
0.000996635557427543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.753947449459616,0.737994290931956,0.697448046009787,0.67731264276084,0.679991086251666,0.708748684996786,0.713248328476068,0.667997855385356,0.715060582611254,0.590475273499956,0.726458347056902,0.662247807041747,0.770664119186519,0.715124553950711,0.688858396050918,0.716405142527156,0.640489714381575,0.655960026439667
0.96668648956362,0.984313571062916,0.946431560162902,0.918794336064505,0.9443930329085,0.937003292318976,0.95627456421586,0.887133735179863,0.917845415227447,0.922455577027136,0.995885812638154,0.972604470614968,0.985847401916618,0.904672327065175,0.979360664359776,0.987288699284245,0.834601441555133,0.982518431761869
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
