"X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
0.00207858800700899,0,0,0,0,0,1.94990567033552e-17,0,0,0,0,0,0,0,0,0,0,0
0.732562345166872,0.712369383698483,0.666568812332841,0.665831807044964,0.61200979459957,0.649225548062979,0.749552361095423,0.675590822842399,0.736925932517865,0.634472273962988,0.715151503665076,0.745758638675381,0.745668727079433,0.711586363188972,0.663664498371928,0.738626659230709,0.728913302203455,0.661756097671798
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
