site,date,year,month,week,dayofmonth,dayofyr,coloniesperL,filbundperL,totalperL
Coffin,2011-08-11,2011,8,32,11,223,1.782548216,0.891274108,2.673822325
Coffin,2011-08-18,2011,8,33,18,230,0.523446698,7.78E-02,0.601256343
Coffin,2011-08-25,2011,8,34,25,237,0.990304565,0.113177665,1.103482229
Coffin,2011-09-01,2011,9,35,1,244,2.214038062,0,2.214038062
Coffin,2011-09-08,2011,9,36,8,251,1.563266491,0,1.563266491
Coffin,2011-09-15,2011,9,37,15,258,0.028294416,0,0.028294416
Coffin,2011-09-22,2011,9,38,22,265,0.014147208,0,0.014147208
Coffin,2011-09-29,2011,9,39,29,272,0.042441624,0,0.042441624
Coffin,2011-10-06,2011,10,40,6,279,0,0,0
Coffin,2012-03-29,2012,3,13,29,89,0,0,0
Coffin,2012-04-13,2012,4,15,13,104,0,0,0
Coffin,2012-04-19,2012,4,16,19,110,0,0,0
Coffin,2012-05-03,2012,5,18,3,124,0,0,0
Coffin,2012-05-10,2012,5,19,10,131,0,0,0
Coffin,2012-05-17,2012,5,20,17,138,0,0,0
Coffin,2012-05-24,2012,5,21,24,145,0,0,0
Coffin,2012-05-31,2012,5,22,31,152,0,0,0
Coffin,2012-06-07,2012,6,23,7,159,0,0,0
Coffin,2012-06-14,2012,6,24,14,166,0.007073604,0,0.007073604
Coffin,2012-06-21,2012,6,25,21,173,0.014147208,0,0.014147208
Coffin,2012-06-28,2012,6,26,28,180,0,0,0
Coffin,2012-07-05,2012,7,27,5,187,0.014147208,0,0.014147208
Coffin,2012-07-12,2012,7,28,12,194,0.042441624,0,0.042441624
Coffin,2012-07-19,2012,7,29,19,201,0.176840101,9.90E-02,0.275870557
Coffin,2012-07-26,2012,7,30,26,208,0.141472081,7.07E-03,0.148545685
Coffin,2012-08-02,2012,8,31,2,215,0.134398477,2.12E-02,0.155619289
Coffin,2012-08-09,2012,8,32,9,222,0.077809644,0,0.077809644
Coffin,2012-08-16,2012,8,33,16,229,0.056588832,7.07E-03,0.063662436
Coffin,2012-08-23,2012,8,34,23,236,0.042441624,7.07E-03,0.049515228
Coffin,2012-08-30,2012,8,35,30,243,0.03536802,0,0.03536802
Coffin,2012-09-06,2012,9,36,6,250,0.084883248,0,0.084883248
Coffin,2012-09-13,2012,9,37,13,257,0.028294416,0,0.028294416
Coffin,2012-09-20,2012,9,38,20,264,0.03536802,0,0.03536802
Coffin,2012-09-27,2012,9,39,27,271,0,0,0
Coffin,2012-10-05,2012,10,40,5,279,0.014147208,0,0.014147208
Coffin,2013-04-24,2013,4,16,24,114,0,0,0
Coffin,2013-05-02,2013,5,17,2,122,0,0,0
Coffin,2013-05-14,2013,5,19,14,134,0,0,0
Coffin,2013-05-23,2013,5,20,23,143,0,0,0
Coffin,2013-05-30,2013,5,21,30,150,0,7.07E-03,0.007073604
Coffin,2013-06-06,2013,6,22,6,157,0,0,0
Coffin,2013-06-13,2013,6,23,13,164,0,0,0
Coffin,2013-06-20,2013,6,24,20,171,0,0,0
Coffin,2013-06-27,2013,6,25,27,178,0,0,0
Coffin,2013-07-03,2013,7,26,3,184,0.007073604,0,0.007073604
Coffin,2013-07-11,2013,7,27,11,192,0,0,0
Coffin,2013-07-18,2013,7,28,18,199,0.007073604,0,0.007073604
Coffin,2013-07-25,2013,7,29,25,206,0.226355329,4.24E-02,0.268796953
Coffin,2013-08-01,2013,8,30,1,213,0.077809644,0,0.077809644
Coffin,2013-08-08,2013,8,31,8,220,0.03536802,0,0.03536802
Coffin,2013-08-15,2013,8,32,15,227,0.042441624,0,0.042441624
Coffin,2013-08-22,2013,8,33,22,234,0.028294416,0,0.028294416
Coffin,2013-08-29,2013,8,34,29,241,1.294469538,5.66E-02,1.35105837
Coffin,2013-09-05,2013,9,35,5,248,0.297091369,1.41E-02,0.311238578
Coffin,2013-09-11,2013,9,36,11,254,0.014147208,0,0.014147208
Coffin,2013-09-18,2013,9,37,18,261,0.077809644,0,0.077809644
Coffin,2013-09-25,2013,9,38,25,268,0.063662436,0,0.063662436
Coffin,2013-10-02,2013,10,39,2,275,0.03536802,1.41E-02,0.049515228
Coffin,2013-10-09,2013,10,40,9,282,0.028294416,0,0.028294416
Coffin,2014-05-29,2014,5,21,29,149,0,0,0
Coffin,2014-06-05,2014,6,22,5,156,0,1.41E-02,0.014147208
Coffin,2014-06-12,2014,6,23,12,163,0.014147208,7.07E-03,0.021220812
Coffin,2014-06-19,2014,6,24,19,170,0,0,0
Coffin,2014-06-26,2014,6,25,26,177,0.120251269,9.20E-02,0.212208121
Coffin,2014-07-02,2014,7,26,2,183,0.049515228,1.41E-02,0.063662436
Coffin,2014-07-09,2014,7,27,9,190,0.049515228,4.95E-02,0.099030457
Coffin,2014-07-17,2014,7,28,17,198,0.183913705,7.78E-02,0.261723349
Coffin,2014-07-23,2014,7,29,23,204,0.275870557,2.83E-02,0.304164973
Coffin,2014-07-30,2014,7,30,30,211,0.360753806,8.49E-02,0.445637054
Coffin,2014-08-06,2014,8,31,6,218,0.162692893,2.83E-02,0.190987309
Coffin,2014-08-12,2014,8,32,12,224,0.091956852,2.12E-02,0.113177665
Coffin,2014-08-20,2014,8,33,20,232,3.515581204,2.83E-02,3.543875621
Coffin,2014-08-27,2014,8,34,27,239,0.905421316,0.134398477,1.039819793
Coffin,2014-09-04,2014,9,35,4,247,0.749802028,2.12E-02,0.77102284
Coffin,2014-09-10,2014,9,36,10,253,0.954936545,1.41E-02,0.969083753
Coffin,2014-09-17,2014,9,37,17,260,0.021220812,0,0.021220812
Coffin,2014-09-25,2014,9,38,25,268,0.014147208,0,0.014147208
Coffin,2014-10-03,2014,10,39,3,276,0.049515228,0,0.049515228
Coffin,2014-10-10,2014,10,40,10,283,0.007073604,0,0.007073604
Coffin,2015-05-14,2015,5,19,14,134,0,0,0
Coffin,2015-05-21,2015,5,20,21,141,0,0,0
Coffin,2015-05-28,2015,5,21,28,148,0,0,0
Coffin,2015-06-05,2015,6,22,5,156,0,0,0
Coffin,2015-06-11,2015,6,23,11,162,0,0,0
Coffin,2015-06-19,2015,6,24,19,170,0,1.41E-02,0.014147208
Coffin,2015-07-02,2015,7,26,2,183,0.007073604,7.07E-03,0.014147208
Coffin,2015-07-09,2015,7,27,9,190,0.03536802,1.41E-02,0.049515228
Coffin,2015-07-16,2015,7,28,16,197,0.091956852,2.83E-02,0.120251269
Coffin,2015-07-23,2015,7,29,23,204,0.134398477,4.95E-02,0.183913705
Coffin,2015-07-30,2015,7,30,30,211,0.077809644,2.83E-02,0.106104061
Coffin,2015-08-06,2015,8,31,6,218,0.042441624,1.41E-02,0.056588832
Coffin,2015-08-13,2015,8,32,13,225,0.155619289,2.12E-02,0.176840101
Coffin,2015-08-20,2015,8,33,20,232,0.459784262,4.95E-02,0.50929949
Coffin,2015-08-25,2015,8,34,25,237,0.43856345,2.12E-02,0.459784262
Coffin,2015-09-03,2015,9,35,3,246,3.3316675,0.381974618,3.713642117
Coffin,2015-09-10,2015,9,36,10,253,0.594182739,3.54E-02,0.629550759
Coffin,2015-09-17,2015,9,37,17,260,0.700286799,0,0.700286799
Coffin,2015-09-24,2015,9,38,24,267,0.169766497,7.07E-03,0.176840101
Coffin,2015-10-02,2015,10,39,2,275,0.063662436,0,0.063662436
Coffin,2015-10-10,2015,10,40,10,283,0.127324873,3.54E-02,0.162692893
Coffin,2015-10-12,2015,10,41,12,285,0.014147208,0,0.014147208
Coffin,2016-05-26,2016,5,21,26,147,0.007073604,0,0.007073604
Coffin,2016-06-03,2016,6,22,3,155,0.084883248,4.24E-02,0.127324873
Coffin,2016-06-16,2016,6,24,16,168,0.183913705,0.183913705,0.36782741
Coffin,2016-06-23,2016,6,25,23,175,0.056588832,4.24E-02,0.099030457
Coffin,2016-06-30,2016,6,26,30,182,0.028294416,3.54E-02,0.063662436
Coffin,2016-07-07,2016,7,27,7,189,0.028294416,1.41E-02,0.042441624
Coffin,2016-07-14,2016,7,28,14,196,0.134398477,0.141472081,0.275870557
Coffin,2016-07-21,2016,7,29,21,203,0.049515228,2.83E-02,0.077809644
Coffin,2016-07-27,2016,7,30,27,209,0.523446698,0.148545685,0.671992383
Coffin,2016-08-15,2016,8,33,15,228,0.477468272,0.343069796,0.820538068
Coffin,2016-08-22,2016,8,34,22,235,1.294469538,0.396121826,1.690591364
Coffin,2016-08-31,2016,8,35,31,244,0.551741115,7.78E-02,0.629550759
Coffin,2016-09-07,2016,9,36,7,251,0.488078678,2.83E-02,0.516373094
Coffin,2016-09-14,2016,9,37,14,258,0.318312182,1.41E-02,0.33245939
Coffin,2016-09-21,2016,9,38,21,265,0.608329947,5.66E-02,0.664918779
Coffin,2016-09-28,2016,9,39,28,272,0.028294416,2.12E-02,0.049515228
Coffin,2016-10-05,2016,10,40,5,279,0.049515228,0,0.049515228
Fichter,2007-06-21,2007,6,24,21,172,0,0,0
Fichter,2007-06-28,2007,6,25,28,179,0.084883248,0,0.084883248
Fichter,2007-07-05,2007,7,26,5,186,0.608329947,9.90E-02,0.707360403
Fichter,2007-07-12,2007,7,27,12,193,0.007073604,7.07E-03,0.014147208
Fichter,2007-07-19,2007,7,28,19,200,0.113177665,2.12E-02,0.134398477
Fichter,2007-07-26,2007,7,29,26,207,1.032746189,1.909873089,2.942619278
Fichter,2007-08-02,2007,8,30,2,214,0.997378169,3.077017754,4.074395923
Fichter,2007-08-09,2007,8,31,9,221,1.676444156,9.846456814,11.52290097
Fichter,2007-08-16,2007,8,32,16,228,1.025672585,6.826027892,7.851700477
Fichter,2007-08-23,2007,8,33,23,235,0.594182739,NA,0.594182739
Fichter,2007-08-30,2007,8,34,30,242,8.863225854,0,8.863225854
Fichter,2007-09-06,2007,9,35,6,249,1.71888578,0,1.71888578
Fichter,2007-09-13,2007,9,36,13,256,2.320142123,0,2.320142123
Fichter,2007-09-20,2007,9,37,20,263,0.544667511,0,0.544667511
Fichter,2008-06-05,2008,6,22,5,157,0,0,0
Fichter,2008-06-12,2008,6,23,12,164,0.049515228,0,0.049515228
Fichter,2008-06-19,2008,6,24,19,171,0.099030457,0,0.099030457
Fichter,2008-06-26,2008,6,25,26,178,0.176840101,0,0.176840101
Fichter,2008-07-03,2008,7,26,3,185,3.03457613,6.37E-02,3.098238567
Fichter,2008-07-10,2008,7,27,10,192,0.212208121,0,0.212208121
Fichter,2008-07-17,2008,7,28,17,199,1.096408625,0,1.096408625
Fichter,2008-07-24,2008,7,29,24,206,0.466857866,7.07E-03,0.47393147
Fichter,2008-07-31,2008,7,30,31,213,1.768401008,0.106104061,1.874505069
Fichter,2008-08-07,2008,8,31,7,220,0.870053296,6.37E-02,0.933715732
Fichter,2008-08-14,2008,8,32,14,227,0.466857866,0,0.466857866
Fichter,2008-08-21,2008,8,33,21,234,1.329837558,9.90E-02,1.428868015
Fichter,2008-08-26,2008,8,34,26,239,0.360753806,0,0.360753806
Fichter,2008-09-04,2008,9,35,4,248,0.141472081,0,0.141472081
Fichter,2008-09-10,2008,9,36,10,254,0.212208121,0,0.212208121
Fichter,2008-09-17,2008,9,37,17,261,0.056588832,1.41E-02,0.07073604
Fichter,2008-09-24,2008,9,38,24,268,0.099030457,0,0.099030457
Fichter,2009-05-15,2009,5,19,15,135,0,0,0
Fichter,2009-05-29,2009,5,21,29,149,0.007073604,0,0.007073604
Fichter,2009-06-04,2009,6,22,4,155,0.021220812,0,0.021220812
Fichter,2009-06-17,2009,6,24,17,168,0.007073604,0,0.007073604
Fichter,2009-06-25,2009,6,25,25,176,0.084883248,0,0.084883248
Fichter,2009-07-02,2009,7,26,2,183,0.063662436,0,0.063662436
Fichter,2009-07-09,2009,7,27,9,190,0.106104061,4.24E-02,0.148545685
Fichter,2009-07-16,2009,7,28,16,197,0.042441624,0,0.042441624
Fichter,2009-07-23,2009,7,29,23,204,0.007073604,0,0.007073604
Fichter,2009-07-30,2009,7,30,30,211,0.233428933,7.07E-03,0.240502537
Fichter,2009-08-06,2009,8,31,6,218,0.212208121,0,0.212208121
Fichter,2009-08-13,2009,8,32,13,225,0.205134517,0,0.205134517
Fichter,2009-08-20,2009,8,33,20,232,0.297091369,0,0.297091369
Fichter,2009-08-27,2009,8,34,27,239,0.488078678,0,0.488078678
Fichter,2009-09-01,2009,9,35,1,244,0.381974618,0,0.381974618
Fichter,2009-09-08,2009,9,36,8,251,0.629550759,0,0.629550759
Fichter,2009-09-15,2009,9,37,15,258,0.940789336,0,0.940789336
Fichter,2009-09-21,2009,9,38,21,264,4.095616735,0,4.095616735
Fichter,2009-10-05,2009,10,40,5,278,0.226355329,0,0.226355329
Fichter,2010-04-15,2010,4,15,15,105,0.077809644,0,0.077809644
Fichter,2010-04-30,2010,4,17,30,120,0.063662436,0,0.063662436
Fichter,2010-05-13,2010,5,19,13,133,0,0,0
Fichter,2010-05-25,2010,5,21,25,145,0.049515228,0,0.049515228
Fichter,2010-06-04,2010,6,22,4,155,0.021220812,0,0.021220812
Fichter,2010-06-10,2010,6,23,10,161,0.007073604,0,0.007073604
Fichter,2010-06-15,2010,6,24,15,166,0.042441624,7.07E-03,0.049515228
Fichter,2010-06-24,2010,6,25,24,175,0.091956852,0,0.091956852
Fichter,2010-07-01,2010,7,26,1,182,0.36782741,0.226355329,0.594182739
Fichter,2010-07-08,2010,7,27,8,189,0.346606598,0.106104061,0.452710658
Fichter,2010-07-15,2010,7,28,15,196,0.431489846,0.219281725,0.650771571
Fichter,2010-07-22,2010,7,29,22,203,0.657845175,0.381974618,1.039819793
Fichter,2010-07-29,2010,7,30,29,210,0.275870557,0.148545685,0.424416242
Fichter,2010-08-05,2010,8,31,5,217,5.715472059,5.503263938,11.218736
Fichter,2010-08-12,2010,8,32,12,224,1.478383243,1.365205578,2.843588821
Fichter,2010-08-19,2010,8,33,19,231,0.884200504,0.608329947,1.492530451
Fichter,2010-08-26,2010,8,34,26,238,0.459784262,4.24E-02,0.502225886
Fichter,2010-09-02,2010,9,35,2,245,2.468687808,0,2.468687808
Fichter,2010-09-09,2010,9,36,9,252,0.381974618,0,0.381974618
Fichter,2010-09-16,2010,9,37,16,259,0.042441624,0,0.042441624
Fichter,2010-09-23,2010,9,38,23,266,0.077809644,0,0.077809644
Fichter,2010-09-30,2010,9,39,30,273,0,0,0
Fichter,2010-10-07,2010,10,40,7,280,0.007073604,0,0.007073604
Fichter,2011-04-28,2011,4,17,28,118,0,0,0
Fichter,2011-05-05,2011,5,18,5,125,0,0,0
Fichter,2011-05-12,2011,5,19,12,132,0,0,0
Fichter,2011-05-19,2011,5,20,19,139,0,0,0
Fichter,2011-05-26,2011,5,21,26,146,0,0,0
Fichter,2011-06-02,2011,6,22,2,153,0,0,0
Fichter,2011-06-10,2011,6,23,10,161,0,0,0
Fichter,2011-06-16,2011,6,24,16,167,0,0,0
Fichter,2011-06-23,2011,6,25,23,174,0.028294416,0,0.028294416
Fichter,2011-06-30,2011,6,26,30,181,0,0,0
Fichter,2011-07-07,2011,7,27,7,188,0.042441624,2.83E-02,0.07073604
Fichter,2011-07-14,2011,7,28,14,195,0.014147208,0,0.014147208
Fichter,2011-07-21,2011,7,29,21,202,0.127324873,7.07E-03,0.134398477
Fichter,2011-07-28,2011,7,30,28,209,0.099030457,0,0.099030457
Fichter,2011-08-04,2011,8,31,4,216,0.870053296,9.90E-02,0.969083753
Fichter,2011-08-11,2011,8,32,11,223,1.372279182,0.212208121,1.584487303
Fichter,2011-08-18,2011,8,33,18,230,1.959388317,0.339532994,2.298921311
Fichter,2011-08-25,2011,8,34,25,237,1.082261417,4.95E-02,1.131776645
Fichter,2011-09-01,2011,9,35,1,244,3.041649734,0,3.041649734
Fichter,2011-09-08,2011,9,36,8,251,0.481005074,0,0.481005074
Fichter,2011-09-15,2011,9,37,15,258,0.063662436,0,0.063662436
Fichter,2011-09-22,2011,9,38,22,265,0,0,0
Fichter,2011-09-29,2011,9,39,29,272,0,0,0
Fichter,2011-10-06,2011,10,40,6,279,0.007073604,0,0.007073604
Fichter,2012-03-29,2012,3,13,29,89,0,0,0
Fichter,2012-04-13,2012,4,15,13,104,0,0,0
Fichter,2012-04-19,2012,4,16,19,110,0,0,0
Fichter,2012-05-03,2012,5,18,3,124,0,0,0
Fichter,2012-05-10,2012,5,19,10,131,0,0,0
Fichter,2012-05-17,2012,5,20,17,138,0,0,0
Fichter,2012-05-24,2012,5,21,24,145,0,0,0
Fichter,2012-05-31,2012,5,22,31,152,0.007073604,0,0.007073604
Fichter,2012-06-07,2012,6,23,7,159,0,0,0
Fichter,2012-06-14,2012,6,24,14,166,0.021220812,0,0.021220812
Fichter,2012-06-21,2012,6,25,21,173,0.049515228,0,0.049515228
Fichter,2012-06-28,2012,6,26,28,180,0.07073604,7.07E-03,0.077809644
Fichter,2012-07-05,2012,7,27,5,187,0.106104061,0,0.106104061
Fichter,2012-07-12,2012,7,28,12,194,0.664918779,0.190987309,0.855906088
Fichter,2012-07-19,2012,7,29,19,201,0.813464464,0.198060913,1.011525377
Fichter,2012-07-26,2012,7,30,26,208,0.452710658,0.113177665,0.565888323
Fichter,2012-08-02,2012,8,31,2,215,0.431489846,0.148545685,0.580035531
Fichter,2012-08-09,2012,8,32,9,222,0.587109135,0.247576141,0.834685276
Fichter,2012-08-16,2012,8,33,16,229,0.155619289,2.12E-02,0.176840101
Fichter,2012-08-23,2012,8,34,23,236,0.254649745,9.20E-02,0.346606598
Fichter,2012-08-30,2012,8,35,30,243,0.268796953,7.07E-03,0.275870557
Fichter,2012-09-06,2012,9,36,6,250,0.898347712,0,0.898347712
Fichter,2012-09-13,2012,9,37,13,257,0.148545685,0,0.148545685
Fichter,2012-09-20,2012,9,38,20,264,0.099030457,0,0.099030457
Fichter,2012-09-27,2012,9,39,27,271,0.063662436,0,0.063662436
Fichter,2012-10-05,2012,10,40,5,279,0.007073604,0,0.007073604
Fichter,2013-05-14,2013,5,19,14,134,0,0,0
Fichter,2013-05-23,2013,5,20,23,143,0,0,0
Fichter,2013-05-30,2013,5,21,30,150,0,0,0
Fichter,2013-06-06,2013,6,22,6,157,0,0,0
Fichter,2013-06-13,2013,6,23,13,164,0,0,0
Fichter,2013-06-20,2013,6,24,20,171,0.007073604,7.07E-03,0.014147208
Fichter,2013-06-27,2013,6,25,27,178,0,0,0
Fichter,2013-07-03,2013,7,26,3,184,0.021220812,0,0.021220812
Fichter,2013-07-11,2013,7,27,11,192,0,0,0
Fichter,2013-07-18,2013,7,28,18,199,0.03536802,0,0.03536802
Fichter,2013-07-25,2013,7,29,25,206,0.353680202,0.134398477,0.488078678
Fichter,2013-08-01,2013,8,30,1,213,0.346606598,9.90E-02,0.445637054
Fichter,2013-08-08,2013,8,31,8,220,0.410269034,0.141472081,0.551741115
Fichter,2013-08-15,2013,8,32,15,227,0.940789336,5.66E-02,0.997378169
Fichter,2013-08-22,2013,8,33,22,234,2.355510143,0.176840101,2.532350244
Fichter,2013-08-29,2013,8,34,29,241,0.997378169,0.190987309,1.188365478
Fichter,2013-09-05,2013,9,35,5,248,1.358131974,7.07E-02,1.428868015
Fichter,2013-09-11,2013,9,36,11,254,6.47234769,0.169766497,6.642114187
Fichter,2013-09-18,2013,9,37,18,261,0.91249492,0,0.91249492
Fichter,2013-09-25,2013,9,38,25,268,0.431489846,0,0.431489846
Fichter,2013-10-02,2013,10,39,2,275,0.247576141,0,0.247576141
Fichter,2013-10-09,2013,10,40,9,282,0.056588832,0,0.056588832
Fichter,2014-05-29,2014,5,21,29,149,0,0,0
Fichter,2014-06-05,2014,6,22,5,156,0,7.07E-03,0.007073604
Fichter,2014-06-12,2014,6,23,12,163,0.014147208,1.41E-02,0.028294416
Fichter,2014-06-19,2014,6,24,19,170,0.113177665,9.20E-02,0.205134517
Fichter,2014-06-26,2014,6,25,26,177,0.03536802,3.54E-02,0.07073604
Fichter,2014-07-02,2014,7,26,2,183,0.127324873,5.66E-02,0.183913705
Fichter,2014-07-09,2014,7,27,9,190,0.360753806,0.162692893,0.523446698
Fichter,2014-07-17,2014,7,28,17,198,0.099030457,7.07E-03,0.106104061
Fichter,2014-07-23,2014,7,29,23,204,0.381974618,5.66E-02,0.43856345
Fichter,2014-07-30,2014,7,30,30,211,0.36782741,7.07E-03,0.374901014
Fichter,2014-08-06,2014,8,31,6,218,0.530520303,2.83E-02,0.558814719
Fichter,2014-08-12,2014,8,32,12,224,0.445637054,2.83E-02,0.47393147
Fichter,2014-08-20,2014,8,33,20,232,3.119459379,0.212208121,3.3316675
Fichter,2014-08-27,2014,8,34,27,239,1.195439082,4.24E-02,1.237880706
Fichter,2014-09-04,2014,9,35,4,247,0.884200504,4.24E-02,0.926642128
Fichter,2014-09-10,2014,9,36,10,253,0.261723349,1.41E-02,0.275870557
Fichter,2014-09-17,2014,9,37,17,260,0.240502537,0,0.240502537
Fichter,2014-09-25,2014,9,38,25,268,0.028294416,0,0.028294416
Fichter,2014-10-03,2014,10,39,3,276,0.007073604,0,0.007073604
Fichter,2014-10-10,2014,10,40,10,283,0.007073604,0,0.007073604
Fichter,2015-05-14,2015,5,19,14,134,0,0,0
Fichter,2015-05-21,2015,5,20,21,141,0,0,0
Fichter,2015-05-28,2015,5,21,28,148,0.007073604,0,0.007073604
Fichter,2015-06-05,2015,6,22,5,156,0,0,0
Fichter,2015-06-19,2015,6,24,19,170,0.03536802,1.41E-02,0.049515228
