"X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40"
1,0.00405362535229743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0.674836614994288,0.562788057206523,0.638986873827252,0.624471215785501,0.565014231447536,0.677754775566156,0.700379236109529,0.660536041788664,0.654461089376711,0.645592018753068,0.637766292469325,0.614896499713733,0.59223047584713,0.625053219685042,0.650205560172104,0.59218799505981,0.665548514375955,0.675777993103537,0.650293445880306
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
