year,week,measure,site,max,mean,median
2009,30,light,OldNewbury,63378.2,3545.6232142857143,613.55
2009,30,temp,OldNewbury,22.525,19.856131944444446,19.758
2009,31,light,OldNewbury,11711.2,976.5193452380953,204.5
2009,31,temp,OldNewbury,23.581,20.968872023809524,20.71
2009,32,light,OldNewbury,7233.4,528.8544642857142,75.3
2009,32,temp,OldNewbury,24.641,22.83989880952381,22.812
2009,33,light,OldNewbury,60622.6,3899.07371031746,565.1
2009,33,temp,OldNewbury,26.977,24.36607738095238,24.738
2009,34,light,OldNewbury,33066.9,1490.6699404761905,166.85
2009,34,temp,OldNewbury,25.902,24.31329365079365,24.255
2009,35,light,OldNewbury,35822.5,3363.023115079365,398.3
2009,35,temp,OldNewbury,24.641,21.217710317460316,20.996
2009,36,light,OldNewbury,52355.9,NA,NA
2009,36,temp,OldNewbury,23.292,NA,NA
2009,37,light,OldNewbury,26178,2107.5041666666666,172.2
2009,37,temp,OldNewbury,21.282,20.019747023809526,19.948
2009,38,light,OldNewbury,26178,2055.642472266244,10.8
2009,38,temp,OldNewbury,19.948,18.490740095087162,18.521
2010,21,light,Coffin,77156.1,9108.28,877.25
2010,21,temp,Coffin,19.472,18.34025,18.236
2010,22,light,Coffin,110223,7549.722817460318,1377.8
2010,22,temp,Coffin,22.621,18.853988095238094,19.092
2010,23,light,Coffin,74400.5,NA,NA
2010,23,temp,Coffin,22.333,NA,NA
2010,24,light,Coffin,79911.6,NA,NA
2010,24,temp,Coffin,19.187,NA,NA
2010,25,light,Coffin,126756.4,8850.848313492064,1808.3
2010,25,temp,Coffin,23.581,20.01901488095238,20.043
2010,26,light,Coffin,77156.1,NA,NA
2010,26,temp,Coffin,23.484,NA,NA
2010,27,light,Coffin,88178.4,10974.957242063492,2583.4
2010,27,temp,Coffin,28.258,22.89532837301587,22.238
2010,28,light,Coffin,74400.5,5968.324503968254,1108.7
2010,28,temp,Coffin,28.45611111,25.876489969126983,25.708
2010,29,light,Coffin,14336,721.6140873015873,188
2010,29,temp,Coffin,27.56722222,25.71199074066468,25.61
2010,30,light,Coffin,42711.4,1107.101892430279,144
2010,30,temp,Coffin,26.195,24.246091854731077,24.255
2010,31,light,Coffin,165334.4,7792.766666666666,1334.75
2010,31,temp,Coffin,25.513,23.843781746031745,23.773
2010,32,light,Coffin,110223,9715.050892857143,1307.8000000000002
2010,32,temp,Coffin,26.097,24.058948412698413,23.966
2010,33,light,Coffin,88178.4,8147.0566468253965,1420.85
2010,33,temp,Coffin,26.39,24.19474107142857,24.062
2010,34,light,Coffin,110223,6108.824801587301,608.15
2010,34,temp,Coffin,24.931,22.45925892857143,22.333
2010,35,light,Coffin,170845.6,11476.613194444444,974.15
2010,35,temp,Coffin,24.158,21.882900793650794,21.855
2010,36,light,Coffin,104711.8,6294.8885912698415,570.5
2010,36,temp,Coffin,25.028,21.806700396825395,21.473
2010,37,light,Coffin,104711.8,4498.287896825397,193.8
2010,37,temp,Coffin,21.378,19.622304563492065,19.662
2010,38,light,Coffin,121245.2,NA,NA
2010,38,temp,Coffin,19.853,NA,NA
2010,21,light,Fichter,57867,9479.28,3229.2
2010,21,temp,Fichter,21.378,20.31645,20.186
2010,22,light,Fichter,93689.5,5279.529662698413,968.8
2010,22,temp,Fichter,22.429,20.294905753968255,20.138
2010,23,light,Fichter,63378.2,3604.837003968254,570.5
2010,23,temp,Fichter,22.908,19.278040674603176,18.806
2010,24,light,Fichter,68889.3,2909.653869047619,715.8
2010,24,temp,Fichter,19.472,17.740033730158732,17.57
2010,25,light,Fichter,115734.1,3987.704761904762,172.2
2010,25,temp,Fichter,23.677,20.588169642857142,20.615
2010,26,light,Fichter,176356.7,5777.800595238095,952.6
2010,26,temp,Fichter,24.448,22.18037996031746,22.046
2010,27,light,Fichter,187379,8717.962896825396,1108.7
2010,27,temp,Fichter,27.272,22.996330357142856,22.908
2010,28,light,Fichter,159823.3,5174.480357142857,1027.95
2010,28,temp,Fichter,27.665,24.741447089930556,24.641
2010,29,light,Fichter,20480,608.7906746031746,114.5
2010,29,temp,Fichter,27.76388889,25.51995094798611,25.31888889
2010,30,light,Fichter,57867,1336.2486055776892,82
