"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16"
0.00108304465373682,0.00107803353518156,0.0512075592757708,0.0499712882084226,0.049942836571448,0.0523982030217322,0.180503810162939,0.0573630258557321,0.0517051848094031,0.0501262147443258,0.176980330718263,0.0585318927595081,0.0524623818395297,0.0519894547970953,0.0533385588208433,0.0515892308702505
0.716476404721626,0.730208316180031,0.73611140315442,0.717501441614911,0.726784552746789,0.75990835826664,0.757625612066447,0.716945283282317,0.745078349490504,0.714619906736922,0.746663805440183,0.747926595611308,0.712396572482539,0.703813440624158,0.738924400525637,0.718214503126091
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
